	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
BH,PK,SA																																										11
BH,PK,TH																																									10	
BH,PK,TR																																										1
BH,PL,UA																																						2				
BH,SA																																		3				1				15
BH,TR																																							6			
BH,TW																																	3									
BH,UA																																						1				
BH,US									18	3	35				2																											
BI															1																											
BI,CN																														7											1	1
BI,FR							7																			6		40	63		6		2						32		4	
BI,FR,null											1																															
BI,MA								2	3																																	
BJ,CG,FR																																										
BJ,DE																																										1
BJ,FR																																										19
BJ,GB,RO																																						4				
BN							1	16	3		11		9		5																	15									5	
BN,CH,KR																																		1								
BN,FR												4																														
BN,GB		11				17						2	10																		11				61							
BN,GB,MY																								3			3															
BN,GB,SG																																			3							
BN,ID,JO,MY																																										3
BN,ID,MY,TW																																										2
BN,IT																																										22
BN,JO																																										
BN,JO,MY																																									3	
BN,JP																																							3			
BN,KR,MY																																					3					
BN,MY,US																					2																					
BN,SG																															15	12										
BN,SG,TW																															4											
BN,US											8					23		5	2		3													6			8					
BO								35													6																					
BO,BR,ES																															20											
BO,CA																												5												1	5	
BO,CL,FR,GB																	5																									
BO,CO																									6													5	40			
BO,CO,MX																																			1							
BO,DE																								2																		
BO,ES																						1				26	8	35	7	13		34			6			4				8
BO,ES,FR															2																											
BO,ES,GB																		3																								
BO,ES,PE																					35																					
BO,ES,SE																												5						5								
BO,FR							4							10	2	5			2			1								3												
BO,GB,MX																															1											
BO,IT																		3	1																							
BO,IT,NC																		18																								
BO,MX								22																												11						8
BO,MX,SE																														2												
BO,NZ																											2															
BO,SE																																		4	17			3		66	18	1
BO,VE																					16														3							
BR	413	153	398	245	202	209	294	327	278	289	260	405	340	434	526	800	728	1023	1126	1273	1554	1672	1275	1566	1567	1628	1600	2110	2110	2230	2276	2756	2729	2887	3112	2796	3610	3541	3917	4260	3435	3129
BR,BY,CN,IN,RU,SA																																								6		
BR,CA	8	46		18	2	15	7						22	7	14	29	16	53	28	8	5	2	1		7		9		6	4	5	79	131	18	15	58	89	33	6	59	56	57
BR,CA,CL																																		1								
BR,CA,CN																																						13				
BR,CA,CU,NL																																								8		
BR,CA,CZ,IT																																									10	
BR,CA,CZ,US																																								20		
BR,CA,DE																																							9			
BR,CA,DE,GB																																							1			
BR,CA,ES																								1																		
BR,CA,FI																																							3			
BR,CA,FR												2				1																	7				3	1	2			
BR,CA,GB																																			14			3				
BR,CA,GR,PL																						3																				
BR,CA,HU																																									6	
BR,CA,IN																																				24						
BR,CA,IN,KR																																										3
BR,CA,IT																																										3
BR,CA,JP																																				1						
BR,CA,KR																																										1
BR,CA,KW,US																						1													10							
BR,CA,PK,SA																																										7
BR,CA,PK,US																										5																
BR,CA,PL																						1	1																			
BR,CA,PT																							1																			
BR,CA,PT,US										1																												1				
BR,CA,RU																			2																							
BR,CA,RU,US																					6		1																			
BR,CA,US																29	4	9		1													5	21			3	36			10	2
BR,CA,VE																					1																					
BR,CH	2		2											1	12	3		6			8		14		22				15	4	1	23	1	15	69	28	5	24	24	22	1	
BR,CH,CO,ES																																					5					
BR,CH,CR,DE																															2											
BR,CH,DE																									14						7					14	50	1	3		50	
BR,CH,DE,GR,IT,PT																																									54	
BR,CH,DE,IT																																						22				
BR,CH,DE,PE																																							1			
BR,CH,ES																																						2				
BR,CH,ES,FR,PT																																		1								
BR,CH,ES,GB,KH,NL,UG,US																																										3
BR,CH,ES,SG,UG,US																																										223
BR,CH,FR																																					13					
BR,CH,FR,IR																																						7				
BR,CH,FR,IT																																										13
BR,CH,FR,PT																									18																	
BR,CH,GB																2																32								4	3	
BR,CH,GB,NL																																				3						
BR,CH,GB,PL																																					2					
BR,CH,GB,US						1																																				
BR,CH,IR																																					9				1	
BR,CH,IT																																5										
BR,CH,KR																																		4								
BR,CH,MA,PK,SA																																	9									
BR,CH,NZ																															7											
BR,CH,RU																								1																		
BR,CH,SE																											3															
BR,CH,US															4												1											11		7		
BR,CI,FR,PL,PT,SE,US																															25											
BR,CL	2							9		16	9	13	1	13	26	2	5	5		1	3		3	1			4	8	44	20	1	4	2	12	1	12	12	27	8	17	17	41
BR,CL,CU																																							3		86	
BR,CL,DE												12																								4					1	
BR,CL,EC																																				1						
BR,CL,ES																																				2					1	
BR,CL,ES,GB																										2																
BR,CL,FR																															3						9	1		5		11
BR,CL,FR,IE																															4											
BR,CL,GB																									1												2					
BR,CL,IN																													8													
BR,CL,IT																																							6			
BR,CL,PK																																									8	
BR,CL,US																													3							5	1					10
BR,CM																																				1						
BR,CM,DE																																					7					
BR,CM,GR																																						2				
BR,CN																		3	19		30	6	35	11					11		12	11			157	30	5	63		1		8
BR,CN,CU																																						2				
BR,CN,DE																													26											2		3
BR,CN,DE,KR																																										
BR,CN,DE,SG																																							31			
BR,CN,EG,IN,RU																																									6	
BR,CN,ES																																							3			
BR,CN,ES,RU																																										3
BR,CN,FI																																								7		
BR,CN,FI,IN,RU																																									2	
BR,CN,FR																																							1			
BR,CN,FR,IN,RU																																					7					
BR,CN,FR,JP																																		2								
BR,CN,GB																																										
BR,CN,GB,HK,OM																																										2
BR,CN,GB,HK,OM,TR																																									1	
BR,CN,GB,IT																																										1
BR,CN,GB,JP																																								8		
BR,CN,IN																																								1	1	
BR,CN,IN,RU																																						10			28	
BR,CN,IN,US																																										2
BR,CN,IN,ZA																																									3	
BR,CN,IT																															12											
BR,CN,IT,MZ																																										3
BR,CN,JP																		23																				10				
BR,CN,JP,SA																																								3		
BR,CN,JP,US																																					2		68			
BR,CN,KW																																	60									
BR,CN,NL,PT																																									4	
BR,CN,PK																																										
BR,CN,PK,SA																																									14	
BR,CN,PK,SA,US																																										1
BR,CN,PK,US																																							4			
BR,CN,PT,US																																									1	
BR,CN,RU																																						2	28	24		
BR,CN,TW																																								15		
BR,CN,US																2						1				2										24	29	29	22	4		66
BR,CO					3		3											10		4	4		4	1		9		2	6	6	2	3	1	5	13	16	20	3	4	20	47	11
BR,CO,DE																		6																								3
BR,CO,DE,FR,VE																		3																								
BR,CO,EC																																								5		
BR,CO,ES																			7															5							1	
BR,CO,FR																										8											6					
BR,CO,GB																																						1				
BR,CO,GB,US																														2												
BR,CO,IL										10																																
BR,CO,JP																																				3						
BR,CO,MX																		6																					17			
BR,CO,US																																					1					
BR,CR																			4	2	1			2													1		2			21
BR,CR,DE																									1						3			4								
BR,CU																		4	2	9	9		4		4					5		43	2	53	8	55	37	37	9	21		20
BR,CU,DE																								13											38							
BR,CU,ES																										2		1										19				
BR,CU,ES,PT,US																																				1						
BR,CU,GB,MX																													2													
BR,CU,MX																											5			2								1				
BR,CU,US																				1																						
BR,CZ															1														1		1					4	1	34	5	1	16	
BR,CZ,DE,IT																																							3			
BR,CZ,EE																																										11
BR,CZ,ES																																								4		
BR,CZ,ES,IT																																										23
BR,CZ,FI																															13											
BR,CZ,FR																									1					2												
BR,CZ,FR,IT																																									20	
BR,CZ,GB																					8													3						5		
BR,CZ,IT																																				26						
BR,CZ,IT,US																																							3			
BR,CZ,RO																					2		2																			
BR,CZ,US																12																				12				6		
BR,DE	5	17	10	21	4	13	27	14	2	2	11	9	13	27	6	31	48	10	34	62	36	46	157	74	90	29	18	36	85	35	57	81	60	72	67	98	166	220	164	323	291	299
BR,DE,DK																																			6			2				
BR,DE,DK,GB																																		4				7				
BR,DE,DK,PT																																								1		
BR,DE,EG																														10												
BR,DE,ES																		2	1	1		2		2															3			
BR,DE,ES,FI,GR,PT																																										
BR,DE,ES,FR																															3										1	
BR,DE,ES,GB,PT,US																																					4					
BR,DE,ES,IT																																					9					
BR,DE,ES,IT,PT																																					3					
BR,DE,ES,RO																																						1				
BR,DE,FR													3							3		1										2				5		3		5		
BR,DE,FR,GB																		1																								
BR,DE,FR,HU		1																																								
BR,DE,FR,SN																																							2			
BR,DE,GB																												2			23			1		5					4	23
BR,DE,GB,US																																							5			
BR,DE,HR																															10											
BR,DE,HU																																							2			
BR,DE,IE																																										1
BR,DE,IL		6				7							5								7															22						
BR,DE,IN																																										4
BR,DE,IR,KR																																										
BR,DE,IT																															5								113	114		1
BR,DE,IT,PT																																						13	50		1	
BR,DE,IT,RU																							1																			
BR,DE,JO,NP																																										2
BR,DE,JP																																				13		16			37	
BR,DE,JP,SK																																					1					
BR,DE,LB																																							31			
BR,DE,LB,TH																																							4			
BR,DE,MD,RO																																									13	
BR,DE,MX																															9											
BR,DE,NL																							2							6											50	
BR,DE,NO																																									17	
BR,DE,PE																														2			1									
BR,DE,PK,SA																																										
BR,DE,PL																																9	9		2							
BR,DE,PL,RU																																						5				
BR,DE,PT																																								1		
BR,DE,RU													1								11																					
BR,DE,SE																															8											8
BR,DE,US									2				2				6				4		1												1						13	
BR,DE,UY																																	4									
BR,DE,VN																													14			25										
BR,DE,null																												1														
BR,DK																	2	1												18				6	59			5	9	20		
BR,DK,GB																																										1
BR,DK,GB,IN																																	7									
BR,DK,IE																																					14					
BR,DK,NL																	2																									
BR,DK,PT																																		2			3					
BR,DK,US																																			6							43
BR,DZ																					3																					
BR,DZ,ES																																								32		
BR,EC																																							15		10	8
BR,EC,PT																																						5				
BR,EC,US																																					2					
BR,EE,GB																																										3
BR,EG																														4							9			1	2	71
BR,EG,GB																																					26	27				
BR,EG,IT																																								1		
BR,EG,NG,TW,ZA																																										1
BR,EG,PH,US																																	1									
BR,ES						2	6	7		3	38	69	17	19	25	25	38	29	14	70	34	32	21	26	44	59	48	37	60	39	96	74	69	167	153	225	152	164	232	145	38	87
BR,ES,FI																																									17	
BR,ES,FR									3		1						1	5			2			2		17	13	14		3		6		1						2		5
BR,ES,FR,IT,US																																					1					
BR,ES,FR,US																																			1							
BR,ES,GB															1										7			7		2			5				5	18				
BR,ES,GB,IT,US																																					17					
BR,ES,GB,PK																																	2	1								
BR,ES,GB,PT																																										
BR,ES,GB,US,UY																																							24			
BR,ES,GR																														16												
BR,ES,HU																																					11					
BR,ES,HU,UY																																				1						
BR,ES,IN																																		5								
BR,ES,IN,PT																																		7								
BR,ES,IR																																			1							
BR,ES,IT														2																				2		1			17			
BR,ES,IT,PL																																									8	
BR,ES,IT,PT																														2												
BR,ES,IT,RO																																				6						
BR,ES,IT,UY																																				5						
BR,ES,KE,PK																																										
BR,ES,MX,US																			2																							
BR,ES,MY																															1											
BR,ES,NO																																							27		10	12
BR,ES,PA																																										47
BR,ES,PL																															3											
BR,ES,PT																										4	14				3				9	27		6	2			13
BR,ES,PT,UY																																	6									
BR,ES,RO																						4						4														
BR,ES,RU																																			3							
BR,ES,SG																																								10		
BR,ES,US									7						3	1			2	7						3		5											6	32		
BR,ES,UY																										1			16						2		7					
BR,FI					3														8															5	5		9		2	15	3	
BR,FI,GB																																					2			1		
BR,FI,IN,SE																																										13
BR,FI,IT																																		24								
BR,FI,IT,TR																																	28									
BR,FI,SE																																								3		
BR,FI,SE,TZ																																										
BR,FI,UA																																								4		
BR,FJ,US																						7																				
BR,FR	2		24	1	21	11	5	16	12	4	67	22	26	160	5	9	52	22	53	129	51	74	55	130	82	68	129	135	79	40	72	126	91	149	105	82	107	135	98	56	120	173
BR,FR,GB												1		8			2																				3		2	23		
BR,FR,GB,IT,PT																																										1
BR,FR,GB,MY																												1											1			
BR,FR,GB,US																																				3		10				
BR,FR,GR																																				3						
BR,FR,HU																																	19									
BR,FR,IE																																									28	
BR,FR,IN																																									33	
BR,FR,IN,RU																														2												
BR,FR,IT																														1		5										
BR,FR,JP																					3																					
BR,FR,LB,PL																																6										
BR,FR,MA																																										1
BR,FR,NL																																					2		3			
BR,FR,None																						5																				
BR,FR,PK																														8												
BR,FR,PL																																							4			
BR,FR,PT																			3																							
BR,FR,PT,VE																																									2	
BR,FR,PY																										5																
BR,FR,RO																																								1		16
BR,FR,RU																				2																						
BR,FR,SA,TN																																								3		
BR,FR,SE																																						8	14	3		
BR,FR,SN																																	5									
BR,FR,TN														7																								43	4			
BR,FR,TR																																				3						
BR,FR,US																				3				1					1			18	2						36	2		2
BR,GB		70	5		18					3	1	3	17	6	25	8	38	8	15	49	68	124	30	45	47	77	76	35	6	135	105	47	129	53	195	253	144	121	222	280	235	176
BR,GB,HU																																	2									
BR,GB,IL,IT																																								29		
BR,GB,IN																									1												2			10		
BR,GB,IN,MY,SG																																	3									
BR,GB,IN,PL,TZ,US																																										1
BR,GB,IT				1																		16		6							18		1				84	9	4	1		50
BR,GB,IT,NG																																							15			
BR,GB,IT,NL																																						1				
BR,GB,IT,SE																																					33					
BR,GB,IT,US															13																											
BR,GB,IT,ZA																																										27
BR,GB,JP																										2																30
BR,GB,JP,US																										1																
BR,GB,KR																				1																						
BR,GB,MY																														4												1
BR,GB,NZ																					16																18					
BR,GB,PK																						11											19									
BR,GB,PK,SA																																										
BR,GB,PS																																										7
BR,GB,PT																							12	3					10				17	40			1		6	17	10	1
BR,GB,SN																																	4									
BR,GB,TR																																		2								
BR,GB,US																	36			24					3		6				2		101			34		14	20	71	1	
BR,GB,US,UY																			8																							
BR,GB,US,ZA																										16																
BR,GB,ZA																												27														
BR,GR																																21			5							
BR,GR,MX																									4																	
BR,HK																										1										4						
BR,HK,ID,JP,KR,PH																									2																	
BR,HR																													4													
BR,HU								3		3																	1			20							4	4		2		4
BR,HU,IE,PL																																							4			
BR,HU,IT									2	2																																
BR,HU,PL																																						2				
BR,HU,US																																							6		8	
BR,ID,PT																																								1		
BR,IE								1																												13	16	8	5	2	9	3
BR,IE,IT																																								15		
BR,IE,PL																																										
BR,IE,PT																																									1	
BR,IE,RS																															4											
BR,IE,SA																																									69	
BR,IL	47	11	12	4		5	5		3		9	3						1	1																	11				4		
BR,IN								1				4			2	9	8								10		12	9	4	17	18	6	1	68	114	53	18	61	2	78	26	7
BR,IN,IT																																									6	
BR,IN,IT,KR,SA																																						4				
BR,IN,IT,RU																																				30						
BR,IN,JP																								3																		
BR,IN,KR																																			1	1						
BR,IN,MA																																	12									
BR,IN,MY																							3																			18
BR,IN,PL																																				1						
BR,IN,PT																																						5		9		
BR,IN,RU																																				72	3	41	42			
BR,IN,SA																																										26
BR,IN,SE																																						20				
BR,IN,US																			6	8				3				40				2				26				11	7	
BR,IN,ZA																																					3		3	6		
BR,IN,null																														2												
BR,IR																																8							3	2		
BR,IR,PK																																								3		
BR,IR,PY,TH																																										1
BR,IS,US																																						5				
BR,IT		5	5	8		4	5	12	2	18	4	25	20	25	17	23	28	19	18	10	74	18	24	32	11	24	35	76	48	17	30	72	65	56	101	88	144	103	109	66	59	69
BR,IT,JP																																								9		
BR,IT,MY																																					5					
BR,IT,NL																										3																
BR,IT,PL																																										6
BR,IT,PT																																1										
BR,IT,RO																																							18			
BR,IT,RS																																		4								
BR,IT,SA																																			4				1			
BR,IT,SE													4																										36			
BR,IT,US																					1													6	11	5		14				
BR,IT,UY																													5						4							
BR,IT,VE																						2																				
BR,JP							11	4	5					6			4		5	11	6	6	4	8	24	2	1	6	1	9	30	31				27	21	36	8		79	12
BR,JP,TW																																								3		
BR,JP,US																						27										1	14						118			
BR,JP,UY																																	5									
BR,KE																																					12					3
BR,KR																											1									3			7			
BR,KR,US																															2											
BR,KW,US																															38											
BR,KZ,US																																				4						
BR,LB																														1												
BR,LT,PL																																							5			
BR,MA																								2																	2	
BR,MX									1						3			5		1								3		49	31			19	17	2	2	1	23	12	10	8
BR,MX,PR										3																																
BR,MX,PT,US																													9													
BR,MX,RU																9																										
BR,MX,RU,US																																								1		
BR,MX,SE																																								3		
BR,MX,US				1																3															1							
BR,MX,UY																														1												
BR,MY																														67	10	36		4			11					
BR,MY,PT																																		1								
BR,MZ																																							1		1	
BR,MZ,PT																																2										
BR,NG																												32	38													
BR,NL												4				7	4		8		7	10	3					1			8	25	1					19	13	2	23	122
BR,NL,US																																							223	30		
BR,NL,VE																																										
BR,NO																												12									2					
BR,NO,SE																									4																	
BR,NP																																		1								
BR,NZ																																										
BR,None																						5																				
BR,OM,PK																																									16	
BR,PA,US																																					4					
BR,PE														3										4	6	4			1						1	13					6	8
BR,PE,US																					5																					
BR,PE,UY																																										4
BR,PH,US																							5																			
BR,PK																															7		41	6	6	44	4	26	8	96	38	2
BR,PK,SA																																							8	23	5	21
BR,PK,SA,US,UZ																																										4
BR,PK,US																																				6						
BR,PL																4	24				4		8	9	1		4	16		4	14	8	13	8	5	5	30	49	6	4	15	4
BR,PL,PT																																				29						
BR,PL,PT,UA																																										7
BR,PL,RU,SE,US																																								2		
BR,PL,RU,US																				8																						
BR,PL,UA																																					6					
BR,PL,US													2		1					2	4																					1
BR,PR																																			11							
BR,PR,US																												3														
BR,PT							8			2	1				42	1			7	10	5	33	1	4	8	9	2	64	2		39	78	186	73	55	43	89	60	125	143	39	112
BR,PT,RU																														7												
BR,PT,TH								4																										17								1
BR,PT,TR																																							12			
BR,PT,US																					4												3						1	13		6
BR,PY																									3																1	
BR,RO																					1												4	9	2	7						
BR,RO,US																																						3				
BR,RS																												2	7				4	1			1					
BR,RU																	2		7	1	3			3	13	1						2		1		2			1	2	48	19
BR,RU,TW																																									14	
BR,RU,US																				9			8								5								1			3
BR,SA,TR																																				1						
BR,SE			1													12									1		1			2	36		1	29			7			5	2	7
BR,SG																																										41
BR,SN																																2										
BR,SS			7																																							
BR,TH																																	1									3
BR,TN																																	2		1							
BR,TR																																					1	13			4	1
BR,TW																																									4	
BR,UA																					1	2			2																	
BR,US	5	1	7	3	1	5	20	5	25	12	17	20	19	32	30	50	74	67	32	92	93	59	56	210	57	60	35	147	43	102	136	187	67	201	253	320	242	330	140	284	297	125
BR,US,UY																									1													5	1			
BR,UY																					15		3			15		20	9	14	8	50	26	16	27	2	7	17		27	29	22
BR,VE				1																1	1		2	3				1					17		10		6		7		3	
BR,XK																																					12					
BR,ZA							1																							6			60		3			19		3	7	98
BR,null														1		1				1		6			2				3													
BS,CN																																					1		28			
BT,IN																						6																				11
BT,JP																																									11	
BW																	24	5	4	13	17	15	25	10	7	67		17	22		20	2	10	27		6				14	3	4
BW,CD																																			12							
BW,CH,DE																						1			7																	
BW,CM					1													7	13	5		9		4	9				5		4					5					2	
BW,CM,DE																			3																			4		5	7	
BW,CM,DE,FR,KE																																6										
BW,CM,DE,KE																																	1									
BW,CM,DE,NG																																									2	
BW,CM,DE,PK																														1												
BW,CM,DE,TR																																							3			
BW,CM,FR																												7			2		7									
BW,CM,GB																			4															7								
BW,CM,JP																																					1					
BW,CM,KE																																		2								
BW,CM,NO																								4																		
BW,CM,TR																																						3	3			
BW,CM,UG																																					1					
BW,DE																			16															6	4	14		3		2		
BW,DE,ET																		2																								
BW,DE,ET,KE,NG																																										3
BW,DE,ZA																												2														
BW,DK,ZA																														3												
BW,ET																3														25												
BW,ET,IN																																										21
BW,ET,IN,MY,ZA																																										
BW,GB																	3			3	2			13				4	2		6											
BW,GB,ZA																																										
BW,GB,ZW																		7																								
BW,IN																													3			9	2									
BW,IN,ZA																																							1			
BW,KE																						8										3										
BW,KE,ZA																																			2							
BW,NG																														1												
BW,NZ																															1											
BW,PK																																13										
BW,SA,TN																																										
BW,SE,ZA,ZW																																								1		
BW,SI																															3											
BW,US													14																													
BW,US,ZA																													18													
BW,ZA																					35							3	3	7											4	5
BY	129	274	228	119	365	219	240	369	375	343	174	130	155	141	95	94	38	163	178	227	697	416	620	763	498	1031	664	655	778	581	596	405	665	382	349	246	172	331	204	313	127	233
BY,CA																														3												
BY,CA,PL																													4													
BY,CA,US																																		1								
BY,CH,DE,FI,RU																																						8				
BY,CH,FR,RU																	1	1																								
BY,CH,RU																									19											9						
BY,CH,SK,UA																													3													
BY,CN																													1											16	6	69
BY,CN,DE																				9																						
BY,CN,DE,ES																																						1				
BY,CN,DE,ES,FR,TN																																									2	
BY,CN,ES,FI,PT,RU																																										
BY,CN,FR																																										16
BY,CN,HR																																			6							
BY,CN,IN,RU																																						5				
BY,CN,IR																																									1	
BY,CN,IR,LY																																									1	
BY,CN,RU																																										63
BY,CN,RU,UA																																							2	4		
BY,CN,SE																					1																					
BY,CO,ES																																										3
BY,CO,FI,RU																																										13
BY,CZ																																	22		15		20		8			
BY,CZ,ES,PL																																			2							
BY,CZ,IT																																9										
BY,CZ,RS																																									19	
BY,CZ,RU																																										69
BY,DE		6										13			22	64		2	15	1	12	59	23	69	37	15	3	19	16	30	2	1	35	9	33	13	2	2		7	3	3
BY,DE,EE,LU																												1														
BY,DE,EG,SA																																										2
BY,DE,ES,MD																																								3		
BY,DE,FI,US																								18																		
BY,DE,FR																		2		11					4					12					11	8						
BY,DE,FR,GB,RU																																										1
BY,DE,FR,PT,RU																																							11			
BY,DE,FR,RU																																						6				
BY,DE,GB																							2																			
BY,DE,GB,PL																					1																					
BY,DE,GB,PT,SE																							5																			
BY,DE,GB,PT,SK																																										1
BY,DE,LT,PT,RU																																									4	
BY,DE,MD																														6			1	2								
BY,DE,MD,NL,RU																							3																			
BY,DE,NL																											9															
BY,DE,PL																				3	8	19					6	11														
BY,DE,PL,PT,RU																																							3			
BY,DE,PL,UA																					8																					
BY,DE,PT,RU																																	4						5			
BY,DE,RO,RU					1																																					
BY,DE,RU																				30	4	3											11	19		2	9		44	10		4
BY,DE,RU,US																																			12							
BY,DE,UA																						1																				
BY,DE,UA,US																								1																		
BY,DE,US																	36	17	29																							
BY,DE,ZA																																4										
BY,DK																1		7																								
BY,DK,DZ,FR																																						29				
BY,DK,GB																																			3							
BY,DK,PL,SE																							11																			
BY,DK,RU																									4																	
BY,DZ,FR																																				4		24				
BY,DZ,FR,LB																																									21	
BY,EE																					1												11		17		34		24		20	
BY,EE,FI,RU																																						3				
BY,EE,GB,RU																																							1			
BY,EE,LV																																					17					
BY,EE,NL															80																											
BY,EG,SA																																								2		
BY,ES																																	1				11					
BY,ES,FR,RO,RU																																									4	
BY,ES,MD																																2										
BY,ES,PL																																					18		3		6	
BY,ES,PL,RU																																							1			
BY,ES,PT																					2			4																		
BY,ES,RU																																										
BY,FI	1																			21		12																				
BY,FI,PT,RU																																								2		
BY,FI,RU																																							7	1	7	
BY,FR													2			6	6		4	28		35			3						31		60	30	17	16	8	1			59	48
BY,FR,GB																															35											
BY,FR,IE																		3																								
BY,FR,IN,SA																																									36	
BY,FR,PL																		1																								
BY,FR,RU															1	7				1				15	14	1	13							2								3
BY,GB														1		5		17										3		20	2			9			1					
BY,GB,IN																2																										
BY,GB,LB,RU																3																										
BY,GB,LT,PT,SK,UA																																					1					
BY,GB,NO,PT,SE																																1										
BY,GB,NZ,RU																																								20		
BY,GB,PT																																					7					
BY,GB,PT,SK,UA																																							12			
BY,GB,RU																										4																
BY,GB,RU,US																												146														
BY,GB,SE																					4																					
BY,GB,US																									1																	
BY,GE								2																		4	5															
BY,GR,PL,UA																									7																	
BY,HU									1																																	
BY,ID,KR																																										1
BY,IL																									1																	
BY,IN																																				2						
BY,IN,IR																																			3	5	3					
BY,IN,RU																																								20		
BY,IN,SE																																			1							
BY,IR																																					2	4		2		
BY,IR,LY																																									6	
BY,IT																					8		1																			
BY,IT,PL,RU																				1																						
BY,IT,RU																											13											9	13			
BY,JP																				4									3				14									
BY,JP,RU																																									1	
BY,JP,SE																					1																					
BY,KR																																		1					8			
BY,KR,LT																																										
BY,KR,RU																																								3		
BY,KZ																																		19	1							11
BY,KZ,RU																																							1			
BY,KZ,RU,SA																																								6		
BY,LT																7	10																				13		1		2	
BY,LT,PT,RU																																			8							
BY,LT,SA																																										3
BY,LT,SA,UA																																										3
BY,LV																												2				53										
BY,LV,PL																											10	2														
BY,LV,PL,RS,SK																																								4		
BY,LV,UA																																					46					
BY,MD																												4					7									
BY,MD,NL																				70																						
BY,MX																				24																						
BY,MX,RU																											2															
BY,NL																		49		19	84			8	1	32		19														
BY,PL								1					3		11	19	77	32	41	21	35	6	35		6	13	2			5	12					18	2	6				15
BY,PL,RU																		2											1													
BY,PL,RU,UZ																																								2		
BY,PL,UZ																																										3
BY,PT																				4	1	5	16		1	9					14						2			3		
BY,PT,RU																						2		5															2	2		
BY,PT,SE																																					4					
BY,RO,RU																																									7	
BY,RS																																	3									
BY,RU		2	8	1			33	45	2	77	7	36	3	18	5	13	4	3		4	23	23	24	120	26	39	59	62	87	36	36	58	58	168	39	106	110	171	219	87	254	136
BY,RU,SA																																									1	
BY,RU,SA,TR																																										8
BY,RU,TW																																									5	1
BY,RU,UA																																										50
BY,RU,US																								1							6						27	16				
BY,RU,VN																													4							1						
BY,SA																																		1		6						
BY,SE					1														3											2		2										
BY,SE,UA																					1																					
BY,SG												5																		3												
BY,UA										1	1								12			1				4	17		16				8	20		4		28		18	27	3
BY,UA,ZW																																					5					
BY,US												1					35							1			1		19			9		22	25				13			
BY,UZ																													4			68										
BY,VN																										1						6		22							7	
BY,ZA																											20															
BY,null					15								1																													
BZ,CA,CR																																				3						
BZ,FR																							16																			
CA	2543	2521	1700	2243	2431	2186	2639	2789	2251	2719	2367	2865	3022	2774	2882	7235	5538	6840	6588	7571	6980	7218	8563	8429	8967	9403	9110	11350	12631	13027	11979	11382	10608	9692	8473	9360	7989	7460	7064	6084	7061	5621
CA,CH	21		17	4		1				4	3	10	60	45	38		61	6	17	4	142	78		17		120	14	47	125	169	43	30	102	105	83	112	213	355	157	34	129	175
CA,CH,CN																																								20		
CA,CH,CN,DE,IE,SG,US																																			1							
CA,CH,CN,GB,RU																																		15								
CA,CH,CN,JP																																8										
CA,CH,CN,US																																									3	
CA,CH,CZ,IN,IT,NL																											11															
CA,CH,DE																						1	1											49		57	41	99	32			
CA,CH,DE,ES,IT																																64										
CA,CH,DE,JP,US																													1													
CA,CH,DE,TR																																		30								
CA,CH,ES																																						3				
CA,CH,ES,FR,GB,JP																																									72	
CA,CH,FR																				13	21										7					1			12			
CA,CH,FR,GB																							4																			
CA,CH,FR,NL																																	4									
CA,CH,FR,US																																										4
CA,CH,GB																										11	4			9	6				5			7				
CA,CH,GB,US																																								1		
CA,CH,HU						1												3																								
CA,CH,IL											3																															
CA,CH,IR																																									6	
CA,CH,IR,IT,PT																																								13		
CA,CH,IR,PL																																			3							
CA,CH,IT																																					1			1		
CA,CH,JP																												2														
CA,CH,JP,NL																	10																									
CA,CH,JP,RO																													2													
CA,CH,NL																			5																							
CA,CH,NL,US																																								4		
CA,CH,NZ																			16																							
CA,CH,PL									1																		6													5		72
CA,CH,RU																															8											
CA,CH,RU,US																										2																
CA,CH,SE																																			97			46				
CA,CH,SG																																				2						
CA,CH,UA																																		6								
CA,CH,US															20			30								34		6		3	101		1	59	10	2		9				
CA,CI														1																												
CA,CI,FR																																				2						20
CA,CL	2				4				3		8			23		1			1	1					1	2		3			38	2			6	2						2
CA,CL,DE																																	17	4								
CA,CL,ES																														2												
CA,CL,FR																																14										
CA,CL,GB																																									1	
CA,CL,US																												11														
CA,CM																													3	6												
CA,CM,CO,RU																														12												
CA,CM,DE																																				1				7		
CA,CM,DE,FR,PK																													5													
CA,CM,DE,GB,ZA																																										10
CA,CM,DE,PK																														4												
CA,CM,FR																																										3
CA,CM,PK																						1																				1
CA,CM,RO																																18										
CA,CM,RU																																	60									
CA,CM,US																																	4									
CA,CN			4	4	4	3	11		22	8	32		2	21	1		41	3	5	25	14	6	21	5	144	66	73	88	330	250	308	234	205	348	464	384	592	532	544	683	657	599
CA,CN,DE																					2			2								4	2				4	42	7		35	114
CA,CN,DE,ES																																						50				
CA,CN,DE,FI																																	6									
CA,CN,DE,GB,SA																																13										
CA,CN,DE,IR,PK																					10																					
CA,CN,DE,US																																						5	130	4		
CA,CN,DK,PK																																					1					
CA,CN,DK,US																																									3	
CA,CN,ES																															29											
CA,CN,ES,JP																					3																					
CA,CN,ES,PT																																				6						
