1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	
AU,CA,DE,JO																																										
AU,CA,FR,US																																				2						
AU,CA,IT																																		2	19			10				
AU,CA,NZ								6																																		
AU,CH											3																3									7				3		
AU,CH,CN,DE,FR																																					6					
AU,CH,DE																													5													
AU,CH,DK																																		3								
AU,CN								2	1			2		5	14	2	6	2	61	48	1	7	40	29	2	11	7	9	28	30	22	11	5	31	17	16	47	29	26	3	33	19
AU,CN,DE																					20																		4			
AU,CN,DE,SG,TW																																									1	
AU,CN,DE,SK																																								1		
AU,CN,DK,FR																																						1				
AU,CN,DK,IR																																						1				
AU,CN,FR																													6										8			
AU,CN,FR,US																																									9	
AU,CN,GB																																					4					
AU,CN,GB,NL																																								1		
AU,CN,JP																									2							1	1									
AU,CN,MY																																								1		
AU,CN,NL																	2																									
AU,CN,NZ																																			1							
AU,CN,RU																																								20		
AU,CN,TW																																							2			1
AU,CZ							9																															4	2	2		
AU,CZ,IT																										1																
AU,CZ,IT,NL,PT,US																								2																		
AU,DE									4				5	1		27	5		11	9	13	5	13	6		2	24	25	6	4		5	1	18	24	22	14	7		4		15
AU,DE,DK,IN,US																																	3									
AU,DE,EG,GB,GR,US																																										2
AU,DE,FR																															11						32					2
AU,DE,FR,IN,SA,TR																																										5
AU,DE,GB																							3																			
AU,DE,GB,ID,SG																													15													
AU,DE,GB,IN																																						7			10	
AU,DE,IN																																		1								
AU,DE,IN,SA,TR																																							5			
AU,DE,IT																															5											
AU,DE,JO,US																																										5
AU,DE,NO																																	14									
AU,DE,SA		1																																								
AU,DE,SA,TR																																								3		
AU,DE,SI																									3																	
AU,DK,ES,FR,US																																			1							
AU,DK,JP																																2										
AU,EG																																						1				
AU,EG,SK																															1											
AU,ES																											3												1			
AU,ES,FR																															1											
AU,ES,FR,US																																									12	
AU,ES,GB																																		6								
AU,ES,GB,IN,IT																																		1								
AU,ES,GB,SG																															3			1								
AU,FR											4					10		1										11	5	41				2	11					21		8
AU,FR,GB																															2									7		
AU,FR,GB,NL																							1																			
AU,FR,NO																																2										
AU,FR,TW																																	15									
AU,FR,US																					1											5									1	
AU,GB					11	3	2	1						5	1		1	4		19	6		5	4	12	5	13		7	22	3		13	5	6	19	9	4	4	23	5	
AU,GB,GH,HK,RU																																									3	
AU,GB,IN																																					15	9	6		6	
AU,GB,IT																																					19					
AU,GB,JP																											1															
AU,GB,JP,TW																																		5								
AU,GB,NZ												1																														
AU,GB,SG																																		15			3					
AU,GB,US																						6		1	1			3														1
AU,GR																											1															
AU,ID																				6																						
AU,ID,JP																										2																
AU,IE																																			8							
AU,IE,IN																																				1						
AU,IL																	1											2														
AU,IL,PL,RU																									3																	
AU,IL,US																										1																
AU,IN					36													35															5	12	9	4	17	1	2		19	16
AU,IN,IQ,SA																																								5		
AU,IN,RU																																									1	
AU,IN,SA,TR																																										5
AU,IN,US																																						4		2		1
AU,IQ																																6										
AU,IR																																						1				1
AU,IT																						6									4	5	2		5		47	14				20
AU,JP															4			2	1		5	5		3		2	25	14	20		7	1		3		30	6			7	1	
AU,JP,KR																							7																			
AU,JP,KR,TW																													1													
AU,JP,PL,RU,TW																																								14		
AU,JP,RU																				3																						
AU,JP,TW																																		25							2	
AU,JP,US																										4								2								
AU,KR																																1					6					
AU,MY																											5	2		2		3	1				13			3	2	
AU,NL																					1																					
AU,NZ										2	2																		6													3
AU,NZ,SG																					2																					
AU,PK,US																																				8						
AU,PL										5																															4	
AU,PL,TW																																									1	
AU,PT																													2			4										
AU,PT,RU																																								6		
AU,RU																										1								9					11	7		
AU,SA,TR																																							6			
AU,SG																			4			1									1				2							
AU,SK																													6													
AU,TR																																			4							
