1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	
CH,FR,US															2		4		1	1			18						2			6		6		4						
CH,GB		1			2					4					1		1		12		1						2	2	4												2	
CH,GB,GR																										1																
CH,GB,HU,IT																											2															
CH,GB,IL																							1																			
CH,GB,JP																				1																						
CH,GB,RU											2																															
CH,GB,US																																						4				
CH,GR																	8			1									7													
CH,HU									1											1																						
CH,HU,IT																											1															
CH,HU,NL								3																																		
CH,IL		1			1									5																												
CH,IL,PL,US																							7																			
CH,IL,US			1																																							
CH,IN																									4					5				4	2							
CH,IN,KR																																	5									
CH,IN,SK																																		2								
CH,IN,US																															1											
CH,IR																																3										
CH,IT	3	1						2	2					2					2								1			1	2		15	13	3	7	3	52				7
CH,IT,MD																																								1		
CH,IT,PL																													7													
CH,IT,PT,US															10																											
CH,IT,RU																														18												
CH,JP																		8	4					3	2	7	2	1				1			4			11			2	
CH,JP,US									2							2																										
CH,KR																														6			3									
CH,KR,RU																														4												
CH,MD																										4											1					
CH,MD,PL																								1																		
CH,NL	9	5	1	1		6	5		12	12	2	10	2	14				1						2			4															
CH,NL,US																						1																				
CH,NO																			3													5										
CH,NO,US																												2														
CH,PL																														1						2						
CH,PL,RU																1			5																							
CH,PT																													11													
CH,PT,US																				12																						
CH,RO																																										
CH,RU	4										3	1		2		5		7		7	7			13		3		3	8	15	2	20	2		2							
CH,RU,UA																							11																			
CH,RU,US																													3													
CH,SE																																										35
CH,UA															3		3			10			12		13	5			2		3	11		10	3							
CH,US	2		6		13	2	4	2		5	1	5	7					2	4	6	16	24	7		1		8		5	9				13	18			17				
CL					1										1	3						1				14		16	1		18		3	5	21	2	9	1	5	14	8	3
CL,CO																																									4	1
CL,DE																			1					1																		
CL,ES																																							4	4		3
CL,ES,GB																																				13				5		
CL,ES,IN,JP																																						3				
CL,ES,PL																																										4
CL,FR																							2															5	3			
CL,GB															4																											
CL,GB,IN																													7													
CL,HU,PT																									6																	
CL,IE																										1																
CL,IN																													16							9	1			5		
CL,IN,LK,ZA																																								1		
CL,RU																																		11								
CL,US								24																														8	2			
CM														1																												
CM,CN																																								9		
CM,FR						10																																				
CM,NG,SN,ZA																													5													
CN	1	21	21	63		31	243	265	300	244	244	556	406	455	744	645	857	666	667	626	512	580	894	1425	1266	1455	1709	1559	1984	2264	2187	2223	2818	2962	3881	3632	3892	3275	3852	3145	3354	3380
CN,CU																																		2								
CN,CU,IT										9																																
CN,CY,DE,RU																														2												
CN,CY,GR,IN																																										2
CN,CZ																											1								2				2	2	4	3
CN,CZ,DE,ES,TW																																			2							
CN,CZ,DE,RU																																			3							
CN,CZ,EE,IT																																1										
CN,CZ,FR																																	6									
CN,CZ,GB,SK																																								1		
CN,CZ,IT																									8																	
CN,CZ,JP,TW																																								7		
CN,CZ,JP,TW,US																																				4	12					
CN,CZ,RU																															1											
CN,CZ,SK																																	4	3								
CN,CZ,US																																					4					
CN,DE				28					5	7	1		12	1	1	1	15	28	6	1	1	14	1	5		14	37	7	14	14	43	49	12	68	9	22	38	19	27	14	11	7
CN,DE,ES																																									14	
CN,DE,ES,FR,TW																																								1		
CN,DE,ES,GB																																	4									
CN,DE,ES,IT,KR,RU																																								1		
CN,DE,ES,TW,US																																				1		8				
CN,DE,FI,GB																																										4
CN,DE,FR,JP,TW																																									2	
CN,DE,GB,JP																																					2					
CN,DE,IN																																			1							4
CN,DE,IT														9																												
CN,DE,JP																																					1					
CN,DE,JP,TW																																										7
CN,DE,KR																																		7								
CN,DE,MY																																						10				
CN,DE,RU																															7	7										
CN,DE,SA,TR																																								1		
CN,DE,SE																																		126								
CN,DE,TW																																						11		1		1
CN,DE,US									1					1		4			1								1		14	2									2	10	1	1
CN,DK,ES																																			1							
CN,DK,JP																																										
CN,EG,FR																																						4				
CN,EG,PK																																										
CN,ES																										4			3	2	2	26	9	2	4	2	2	11	7	8	2	1
CN,ES,FR																																2		5								
CN,ES,GB																																										4
CN,ES,GB,SG																																					4					
CN,ES,IL,IN,PL																																							8			
CN,ES,IN																																							8			
CN,ES,IT																																						8				
CN,ES,JP														1																												
CN,ES,PK																																				3						
CN,ES,RU																																										
CN,ES,SA,TR																																								8		
CN,ES,US																																		2		10	10		3			
CN,ET																																							7			
CN,FI																																								7	3	
CN,FI,GB																																					3	1		4		12
CN,FI,LT,LV,RU																																								4		
CN,FR					1								1				1	4	8		1		9	1		12	12	9	23	11	10	13	31	27	23	14	46	126	18	23	82	10
CN,FR,GB																																							3	1		
CN,FR,GB,US																																	8					3				
CN,FR,IT											1																														3	
CN,FR,JP																				1																		4				
CN,FR,MY																																									12	
CN,FR,NL																														1												
CN,FR,PL																																								19		30
CN,FR,RU																																							3			
CN,FR,SG																																						4				
CN,FR,US																																		11					1	1		
CN,FR,ZA																																						1				
CN,GB						5					2					3	1				3	11		6		2		6	17	14	1	8	49		4	9	20	9	50	43	14	15
CN,GB,HK																																	6								2	
CN,GB,HK,IT,OM																																										3
CN,GB,HK,OM																																							2			
CN,GB,IN																																									4	
CN,GB,IT																																25		5				1				
CN,GB,IT,SK																																						3				
CN,GB,JP																																					13			11		
CN,GB,JP,SA																																								18		
CN,GB,JP,US																																					4					
CN,GB,KR,US																																					1					
CN,GB,NZ																							1																			
CN,GB,PK																																								7		
CN,GB,PK,SA																																								6		
CN,GB,PL,UA																																								5		
CN,GB,SE																													2											2		
CN,GB,SG																																									7	
CN,GB,SI																														1												
CN,GB,SK																																				1				1		
CN,GB,TW,US																																					3					
CN,GB,US																																							10		6	
CN,GR																														15	9			1	16		3	16				
CN,GR,JP,TW																																									3	
CN,GR,TW																																								11		
CN,GR,US															2																											
CN,HK												2	1		4	2	3		12	5		14	10	43	9	4	15	4	8	2	26	17	5	51	34	38	49	20	3	31	18	22
CN,HK,JP,US																																					5					
CN,HK,KR																																								1		
CN,HK,MY																					2													6								
CN,HK,NZ														1																												
CN,HK,RU																									1																	
CN,HK,SG																																					14					
CN,HK,US											12																		1	1						4			4			
CN,HU,SA																																									1	
CN,ID																5		2																								
CN,IE																																	2		1							
CN,IE,JP																						2																				
CN,IL																																		1			2			4		
CN,IN																1									2	2		1					1	16	12	7	7	2	9	15	23	35
CN,IN,JO,PK,PT																																								3		
CN,IN,JP																																										1
CN,IN,JP,SA																																										5
CN,IN,PT																																								6		6
CN,IN,SA																																							10		1	
CN,IN,SA,TW																																									1	
CN,IN,US																								8																		
CN,IR,KR																																								1		
CN,IT						2	2																					1	14	2	1	1	2			17						
CN,IT,SA,US																																						2			1	
CN,IT,US																																					6				1	
CN,JO																																					4	2				
CN,JO,JP,PK																																					1					
CN,JP											1		14		1	15	24	2	3	11	33	65	22	82	32	41	9	43	46	86	73	37	36	72	22	51	52	13	99	103	58	44
CN,JP,KR																																	3			17						
CN,JP,NL											5	5																					12									
CN,JP,RU																																				19	17	13				
CN,JP,SA																																			1							
CN,JP,SE																											4															
CN,JP,SG,US																												1														
CN,JP,US																												5			1		14	4					1			
CN,JP,null																														2												
CN,KR														1		8	15	1	4	5	6	8			6	11			23	16	90	49	59	66	27	52	28	60	41	26		43
CN,KR,PL,SA																																								5		
CN,KR,TW																																	13									
CN,KR,TW,US																																								1		
CN,KR,US																													10											2	2	
CN,KZ																																				1						
CN,LT,SE																													4													
CN,MO																																										1
CN,MX,MY,PL																																				10						
CN,MX,US,VN																																							1			
CN,MY																					2			1	2			3	3	7	3	1		8	1	5	8	9		4		2
CN,MY,US																																			1							
CN,NL										11	17	9	15	12	10	9	30	35	74	44	30	17		4	7	6	9		10	5		5	31	3	10		28	25	13	10	8	12
CN,NL,RU,TW																																				20						
CN,NL,SE											2																															
CN,NL,TW																																				7						
CN,NL,US																					2									2		1	5									
CN,NO														1																									1		1	
CN,NZ																				1							3														5	18
CN,NZ,RU																																								14		
CN,OM																																							3			
CN,PK																																					10	12		34	3	15
CN,PK,SA,US																																										7
CN,PK,US																																						21				3
CN,PL									10																			10			3					11	15	21	3	1	19	6
CN,PL,RU																																					1					
CN,PR																																					4	1	2	1		
CN,PT																										3						3		6	6	32	26	8		14		17
CN,PT,TN																																									4	
CN,RO																5																			6	4		3	14		5	4
CN,RO,RU																																							8			
CN,RS																																						32				
CN,RU																				4	1					5				9	2	6	6	20	83	16	27	47	65	25	97	45
CN,RU,SE																																								2		
CN,RU,TW																																					21					
CN,RU,TW,US																																							5			
CN,RU,US																																			5	2				5		
CN,SA																									1								4	1	9	3	14	35	38		20	
CN,SA,TW,US																																									3	
CN,SD																																									2	
CN,SE								6							1	2	10	3		4						3	8	3	1		48								6		4	
CN,SE,US																								6																7		
CN,SG																			2		8		1	6	17		12	3	9	4	71	3		11		32	2	5	5	3	5	17
CN,SG,TW																								7																		
CN,SG,UA																													1													
CN,SG,US																									4																	
CN,SI												15			8																											
CN,SK										1																			1													
CN,TR																						1																				
CN,TW										2	3		26			14		6	7	5	3			6		2	1	6	6	4		21	5	1			10	1	27	6		10
CN,TW,US																															5								1	10		4
CN,UA																													2											1		
CN,UA,US																														1												
CN,US			16		8			7	3	2	3	2	4	2	16	1	1	26	3	32		20	41	23	27	24	17	99	108	63	158	100	113	134	111	178	103	135	110	205	61	83
CN,VN																																					2		3			
CN,null					14																							1														
CO																											7	12	10		3	7			4					15	11	
CO,DE																													4	1				1								
CO,DE,IN																																										
CO,ES																													2					5						1		6
CO,ES,US																																										
CO,FR																																					3					
CO,FR,LT																																					5					
CO,MX																																								4	8	
CO,US																																									1	
CO,VE																													13													
CR,ES,JP																																		5								
CU					1			8		2						3	3		6		6				2				1													
CU,ES																						30	16																			
CU,ES,MX																											2	3														
CU,FR,IT										4		2																														
CU,IT									8			8							4																							
CU,MX																8	2		2	4	4																					
CU,MX,PT																							4																			
CY																																	7									
CY,CZ,DE,GR,PA																																										2
CY,DE,ES,GR,US																																1										
CY,DE,GR,PA,PT																																										3
CY,ES																								3																		
CY,ES,GR																															2											12
CY,FR,GR,US																														3												
CY,FR,US																												7														
CY,GR																				2	3	2						1				14	39	12		6						5
CY,GR,IE,US																																					8					
CY,IR																																					1					
CY,US																																								6		
CZ	17	10	4	3	34	12	2	7	14	6	9	13			3	28		7	4	8	4	10	3	20	39	21	17	44	24	17	25	4	34	37	35	25	42	9	18	31	1	4
CZ,DE						17			8		16	15	1			3	3	1	2	4				4								17	8	13		2		1				
CZ,DE,FR																		1																	5							
CZ,DE,FR,NL																														1												
CZ,DE,HU																																						1				
CZ,DE,IN																																								11		
CZ,DE,IN,PA																																									4	
CZ,DE,IT,RU																																									1	
CZ,DE,PL		11																																				3				
CZ,DE,PL,RU																																					7			12	3	
CZ,DE,PL,SK																																								1		
CZ,DE,RU																																	1					8		2		6
CZ,DE,SK					10																																					
CZ,DE,TR																																									2	2
CZ,DK,SE																													3													
CZ,DZ																												5		2												
CZ,DZ,PK,SA																																			1							
CZ,EE																							18																			
CZ,EE,GR,PL																													1													
CZ,EE,PL,UA																																									13	
CZ,ES					1							2		3	7															1				4								
CZ,ES,FR																						1																				
CZ,ES,FR,PT																																		8								
CZ,ES,GB																																							7			
CZ,ES,IT															1																											
CZ,ES,MA																																									1	
CZ,FI,PL																								1																		
CZ,FR													6			2			10	3		5	3	18		1	6				6		6	3						1		
CZ,FR,GB																																	1				4					
CZ,FR,JP																											2															
CZ,FR,JP,PT																																1										
CZ,FR,MF								7																																		
CZ,FR,PT																																21										
CZ,FR,RU																			5				1																			
CZ,FR,SK																		1																								
CZ,FR,TN																						1																				
CZ,FR,UA																				2									5													
CZ,FR,US																								1																		
CZ,GB																				1									1													
CZ,GB,GR																		1																								
CZ,GB,IN																																									14	
CZ,GB,IT																								1																		
CZ,GE,IT																										6																
CZ,GE,RU												14																														
CZ,GR												9																										1				
CZ,HU						1			1						1																											
CZ,IL,IT,UA																																					2					
CZ,IN						19																												4				2	6			4
CZ,IN,PL																													1													
CZ,IN,PT,SI																																										15
CZ,IN,UA																																										1
CZ,IR																																					2		3	1		
CZ,IR,PL																																							5			
CZ,IR,VN																																								1		
CZ,IT																				7					2														4			
CZ,IT,JP,KR																								5																		
CZ,JP																1	1		5	15	6	1	7	5	7		2		1												5	4
CZ,JP,RU																	4									1			14													
CZ,JP,TJ																									1																	
CZ,JP,UA																					1																					
CZ,KR,RU																																	1	1								
CZ,LT																																								7		
CZ,LV,UA															2																											
CZ,NL							4						3																													
CZ,NL,RU										4																																
CZ,NL,VN																		1																								
CZ,NO,SE																								1																		
CZ,PL		3	3														2								2		14	8		4							5					3
CZ,PL,RU																									1	4								29							4	
CZ,PL,SK,US																																						5				
CZ,PT																															3											
CZ,PT,SK																																										1
CZ,RU										1		1		1	2						1	1		2							2	2										1
CZ,RU,SE																																					4					
CZ,RU,SI																	1																									
CZ,SI																											1															
CZ,SK											2					2				1			1	4		1				2		8									4	
CZ,TJ						24																																				
CZ,TN																									1						1	2										
CZ,TR																																							2			
CZ,TW																																	6									
CZ,UA														2			17	1	2		3	1			4		9		1		7			14	13	6			1		6	10
CZ,UA,US																																					2					
CZ,US			1																	8															1		1		5			
CZ,VN												8					8																									
CZ,null	10									3		6																														
DE	499	252	344	239	342	245	268	370	234	343	333	477	441	388	639	747	881	612	678	512	488	571	410	477	424	554	560	420	525	438	339	202	332	322	409	292	560	500	450	381	387	235
DE,DK			1		1						2			1		2	1													3								22				
DE,DK,ES																																32										
DE,DK,ES,GB																																				11						
DE,DK,ES,IN																																		3								
DE,DK,FR,GB,US																			1																							
DE,DK,GB																									2																	
DE,DK,NO																			1																	2						
DE,DK,US																	1																									
DE,DZ																																										5
DE,EE,FI																														1												
DE,EE,FR																																			10							
DE,EE,PL																																	6	1								
DE,EE,RU																8																										
DE,EG																												1				1	3		1	12						2
DE,ES							1	7	3		5					21						22					1	3		18	15		26	22	4	7	6	23	12	9		
DE,ES,FR																				11							3								6							3
DE,ES,FR,IN																													4													
DE,ES,FR,MX																																	5									
DE,ES,GB																															1				2	1			4			
DE,ES,GB,GR																																										
DE,ES,GB,IN,IT																																						3				
DE,ES,GB,PT																																							1			
DE,ES,GB,SG																																				3						
DE,ES,IN																																		5		3	4					
DE,ES,IN,NL																																	2									
DE,ES,IN,RS																																							9			
DE,ES,IT																																							19			
DE,ES,JP																														6	9	3										
DE,ES,NL																																						4				
DE,ES,PL																																										
DE,ES,RO																														1									2		7	
DE,ES,RU																	3																					1				
DE,ES,RU,US																																					4					
DE,ES,TR																												2														
DE,ES,UA																																	1									
DE,ES,US																												1	11		2										8	
DE,ES,UY																												13														
DE,ES,null																													3													
DE,ET																																								7		
DE,ET,SK																																										2
DE,FI																														4										2		
DE,FI,IE																																									7	
DE,FI,IN																																				6						
DE,FI,PL																								2																		
DE,FR	10	3	3	13	20		5	9	39	13	2	3	9	9		8	9	11	31	13	17	22	5	10	28	10	42	42	22	35	51	34	27	40	29	33	9	31	45	18	32	20
DE,FR,GB																										1			6		1	4	15					5		6		
DE,FR,GB,JP																					2																					
DE,FR,GB,US																			1																			1				
DE,FR,GR																			1																					23		
DE,FR,IL																		6	4																							
DE,FR,IL,RU														3																												
DE,FR,IN																																	8					16				
DE,FR,IT												1	1													2			2					2								2
DE,FR,IT,LT,SE																							2																			
DE,FR,IT,NO																																							2			
DE,FR,IT,SE																																										
DE,FR,JP													1				2											5							2			2				
DE,FR,JP,UA																																									1	
DE,FR,MA																				7												1										
DE,FR,NL																2					2																					
DE,FR,NZ																																						3				
DE,FR,PA																																										
DE,FR,PL																								1								3										
DE,FR,PL,UA																																						35				
DE,FR,PT																2																										
DE,FR,RO																					2				1		2						14									
DE,FR,RU																							8		3		3															
DE,FR,RU,US																																				8						
DE,FR,SE																																										4
DE,FR,SK																														16			2									
DE,FR,SK,US												2																					6									
DE,FR,TN																						2	3	8																		
DE,FR,TR																											1															
DE,FR,TW																																					1					
DE,FR,UA																					20				3		3			1											3	
DE,FR,US	1	1											2	2			2			1		1		20	1						3		8					4			13	
DE,GB				1					1							30	5		4	3	1	2		2	6	1	41	2	2		12	15	18	17	11	15	20	1	4	19	17	9
DE,GB,GR,SI																					8																					
DE,GB,HU,IT																																	16									
DE,GB,IT																																						6				
DE,GB,IT,LT,PT,UA																																								1		
DE,GB,JP,RU																							1												1							
DE,GB,JP,TW																															2											
DE,GB,MX,US																														2												
DE,GB,NL																				2																				1		
DE,GB,NZ																1				1											14											
DE,GB,PL																	14	2		5																						
DE,GB,RU														9																				1						1		
DE,GB,SE																																									20	
DE,GB,SK	4																																									
DE,GB,UA																												8														
DE,GB,US																							13	1							4			7						3		
DE,GR																	10	2		11	2	4	1								1	1			8					7	5	
DE,GR,IN																																				5						
DE,GR,PL,null																				1																						
DE,HR																			15			1																				
DE,HR,HU,RS																																									3	
DE,HR,IT																																					3					
DE,HR,US																			4																							
DE,HU									1																											6						
DE,HU,IT																																	1									
DE,HU,IT,US																																						2				
DE,HU,SE																								3				1														
DE,ID																												1														
DE,IE																					1						3														4	1
DE,IE,US																								1																		
DE,IL		1		17	4	1			1		3		3	4	5					2												1		1								
DE,IL,US																																	1									
DE,IN														3	3		3	2	12	11	9	25	11	9	20	21	2	20	6	41	5	23	24	6	32	1	27	15	11	6	6	4
DE,IN,IT																																								5		7
DE,IN,JP																		1	3														1									3
DE,IN,MD																																										
DE,IN,PA																																									1	
DE,IN,PL																						1																				1
DE,IN,RU																	1									1																
DE,IN,SE																																			1							
DE,IN,TW																																			2							
DE,IN,US																														3												
DE,IR																									1				3		26					4		2			3	
DE,IR,US																																									3	
DE,IT					12								7	2	3			13	2					2	6		3		2	7	10		2	2		1	4	1	4	12		16
DE,IT,MD,RO																																							3			
DE,IT,NL																			2		14																					
DE,IT,NO,RO																								1																		
DE,IT,PL																								2																		
DE,IT,RU																								1				3														
DE,IT,RU,SG																																									37	
DE,JO																	3																				1					3
DE,JP							11	1	1		5	3	1	2	1	34	13	2		71	6	29	23	2	1	1	1	1	2	7	5		9	4	15	1	12	23	22	11	23	6
DE,JP,NL												1																														
DE,JP,NO																																	11									
DE,JP,PL																									1		2															
DE,JP,RU											2												2													2						
DE,JP,RU,US														2																												
DE,JP,SE,US																	3			3																						
DE,JP,SI																									6																	
DE,JP,TW																																							2			
DE,JP,US																	3				1			3																		
DE,KR								2	1																			1			9											2
DE,KR,SG																																				1						
DE,LB																																										6
DE,LT																										5			1		6											
DE,LV																																										10
DE,LV,PL																	2						1																			
DE,LV,RU	1																																									
DE,MD																															8		5				16					
DE,MD,PL,US																												5														
DE,MX,US																															1											
DE,NG,SA																																										1
DE,NL	1			3		3	8	11	3	2	14	11		3		4	6	1	10	3	1	8			1	2		12	29			10		6	1	10		5				7
DE,NL,PL											6	6																											5			
DE,NL,RO																	1								4																	
DE,NL,SE																																								2		
DE,NL,US		2									3																				1											
DE,NO																3									6	23		20	12	30	24	6	23	16	45	27		8		13		35
DE,NO,RU													2																								4					
DE,NO,US											4																															
DE,NZ																	1			9																						
DE,NZ,US															2																											
DE,PE,US				1																																						
DE,PK																																14										
DE,PL				1			7	3	3	7	2			2	14	18	16	12	21	12	35	28	13	16	9	19	14	13	8	16	12	8	5	3	7	1	3	3	35	1	3	12
DE,PL,RU																	2						3		3								5				2				11	
DE,PL,SE																																								7	1	
DE,PL,SE,US																																									3	
DE,PL,SK																					1						1							8								
DE,PL,UA															8						4		14	1				5		2	1			31	16		2			8	6	
DE,PL,US																								12																		
DE,PT																		6					4	3			1	3					3					6	1			
DE,PT,RU																												5														
DE,PT,TN																																										3
DE,RO			3										10	1	10	7	4	1			8	3		1			5	18		9										7		2
DE,RO,RU																																	14									
DE,RS																														5			6									3
DE,RU		1	2	1						3	2	5	8	11	15	28	14	26	28	31	180	22	43	5	32	21	12	9	29	56	18	18	1	2	9	64	103	36	28	5	58	24
DE,RU,SE															2		1		2																							
DE,RU,SI,UA,US																																										27
DE,RU,UA																											3															
DE,RU,US																		3							5											2						
DE,SA	6																																						2			
DE,SE													2				1			5		4	1	2		1			5	4								1	5	3		
DE,SE,US														4												2												5				
DE,SG																																				5						
DE,SI																			1		2		3	1						4												
DE,SK																														1					2							
DE,SK,US																														2												
DE,TJ											1												8	4																		
DE,TN																											1		3				1						4			
DE,TR																					18	22		8	26	4	50						1	1	6	2	3					
DE,TW													34	15								1	5	1				15										20		2		
DE,TW,US																											3															
DE,UA									3				1				1	8		24		28	13	56	23	67	73	4	54	1	14	50				8	23		2	9	4	112
DE,UA,US																																								44		
DE,US	10	3		12	17	21	7	12	3	6	7	7	23	9	20	17	54	41	19	10	20	16	7	18	23	11	22	18	39	41	51	24	23	5	41	23	31	38	18	32	24	14
DE,US,null																													1													
DE,VE																													2													
DE,VN																											4								24	3				10		
DE,ZA																												5														
DE,null		10			1			2	1		2	13		5	1	5																										
DK	1				2		1		1		3			4	7	9	2		9		6	1			8	2	13	1	8	16		12	12		9		9	8	43	29	40	19
DK,ES														15			13														1	13										
DK,ES,FR																		6																	2							
DK,ES,GB																																			5							
DK,FI																								1																		
DK,FR																																								9		5
DK,FR,GB								1													2																				2	
DK,FR,GB,US																				3																						
DK,FR,IN																																	1									
DK,FR,JP																				1																						
DK,FR,JP,PL																																						1				
DK,FR,JP,US																															2											
DK,FR,NL					7																																					
DK,FR,US														1																												
DK,GB			2												3		2			7	3														3	5		7	6			4
DK,GB,IT,US																									2																	
DK,GB,PT																											1															
DK,GB,SE																		3																								
DK,GB,US															1	4																								6		
DK,IT																				4																						
DK,IT,PL																																					12					
DK,IT,US												1																														
DK,JP																				2	7																					
DK,KR																																				2				5		
DK,LV																		3																								
DK,NL																2																										
DK,NO																															1			18								
DK,PL,US																						1																				
DK,PT																										3																
DK,RU			1													1						4																				
DK,SE									6																																	
DK,US									3		3							5													1	1			1			2	4		6	2
DZ																					5	18		2		5	12	5	2	16	5				3	1	1	4				6
DZ,ES,FR																																									9	
DZ,ES,IT																																								6		
DZ,FR																		2		1	13	1		2		1	12		16	6		1		3	21	3	15	13	4	22	47	47
DZ,FR,MA																																									9	
DZ,FR,PL																														3				1								
DZ,FR,TN																																					1				2	
DZ,FR,TR																																										4
DZ,FR,US																																			3							
DZ,IN		1																																								
DZ,IT																																8										
DZ,SA																																										
DZ,SA,TN																																					2					
DZ,TN																														6	2				2			1	4			
DZ,TR																															9			8		1			4			
EE																								2	1						3	7							5			6
EE,EG																														6												
EE,FI																																										
EE,FI,SE																														1												
EE,HU								1																																		
EE,IN																															7										3	
EE,IN,PL																																	3									
EE,JP																																							2			
EE,NO																																					6					
EE,PL																																2										
EE,PL,SA																																5										
EE,RU																																			1						1	15
EE,RU,SE																																								2		
EE,US,null																													5													
EG	3	9	17	18	17	4	25	1	110	20	4	37	19	7	3		22	28	20	6	43	8	37	71	19	39	11	56	29	30	14	14	17	12	23	17	33	7	43	58	33	36
EG,ES																																	1			1	3					
EG,FR				8																																	6					
EG,GB									8		5																															
EG,IQ																																						1		3		
EG,IR,US																																								1		
EG,IT					1																							1										7		1		
EG,JO																																									1	
EG,JP																																					5		6		4	
EG,KR																																							1			
EG,KW																												1				7							5			
EG,LB																																5								2		
EG,LY																																	1									
EG,OM																																									4	
EG,PK,SA																																					5					
EG,PL							1																																	1		
EG,QA																															3											
EG,RU								9																																		
EG,SA			6																					12			8			5			4	6		13	3			10	11	3
EG,SA,YE																																		1								
EG,TN																											4								5		1					
EG,US		3	6	5														1					1		14																	2
EG,YE																										14		7		1				12	4							
ES	6		19	3	10	14	50	32	20	37	36	40	54	107	109	85	114	137	128	56	57	152	83	35	132	151	136	133	86	103	139	103	73	42	128	89	74	82	91	104	89	64
ES,FI																																2		4								
ES,FI,FR,PL																2																										
ES,FI,IN																																						4				
ES,FI,SE																											1															
ES,FR	1	2	8	20		3	8	8	4	1	16	10	1	4	15	12	22	9	34	22	8	43	4	21			3	4	17	16	6	12	52	27		15	19	6	27	10	6	14
ES,FR,GB																	1			1											3		18		3	10	5	1		8		
ES,FR,GB,IT,US												1																														
ES,FR,GB,PL																								3																		
ES,FR,GR																																								4		
ES,FR,HU																								2							24			6	2	1	4	23				
ES,FR,HU,IT																																					9					
ES,FR,IN																							1			7	1								8				2			3
ES,FR,IT									3	1		1									1							1					7		9		17			1		
ES,FR,IT,JP																																							4			
ES,FR,IT,NL,US																													6													
ES,FR,JP																					1											2							4		2	
ES,FR,MD																									1																	
ES,FR,MD,SK																													10													
ES,FR,NL											5				11									1						14												
ES,FR,NZ																							5																			
ES,FR,None,RU																						3																				
ES,FR,PL																																					3			2		
ES,FR,PT																																				1						
ES,FR,PT,US																															4											
ES,FR,RU																		7										5														
ES,FR,SK																			1																							
ES,FR,TN																																			4							2
ES,FR,TW																													1													
ES,FR,US			2						4			1												1								22			19	21		2				
ES,GB				2		3			9		2	6		3		4	39	134		33	15	1	1	10	2	32	3	5	22	12	10	18	10	19	20	27	49		16	3	6	
ES,GB,GR																																4				9						
ES,GB,GR,PL																																							2			
ES,GB,HK																												5														
ES,GB,IE,PL																			1																							
ES,GB,IN																									1									22					4			
ES,GB,IT																																										9
ES,GB,IT,PL																																				8						
ES,GB,IT,US																															2											
ES,GB,KR																																					3					
ES,GB,NL																												4														
ES,GB,PL																								3																		
ES,GB,PT																										29															2	
ES,GB,US																																4	1									
ES,GB,US,null																														3												
ES,GR																											19		5	17	4				7			16			5	
ES,GR,PL																																				9			1			
ES,GR,PT																																	5						7			
ES,GR,US																							3																			
ES,HU																														10					1							5
ES,HU,IT																																		5								
ES,ID																																						2				
ES,IL																																						6				
ES,IN										18	14							4			1						4		2		7	6	31	30	16		11	17	22	30	18	14
ES,IN,IT																										1	7							3								
ES,IN,IT,SK																																										1
ES,IN,IT,TW																																				3						
ES,IN,JP																						3															4					
ES,IN,PL																																							5			
ES,IN,PT																																							1			
ES,IN,SK																																					2					
ES,IN,TW																														4												
ES,IN,US																																			1				15			2
ES,IR																																					8			8		3
ES,IR,US																																			1						1	1
ES,IR,ZA																																								3		
ES,IT									1	1	3					1	5		8											1			1	7	27	8	5		19	2	18	15
ES,IT,JP																																					4	1				
ES,IT,PT																																								1		
ES,IT,RO																																			7						4	
ES,IT,RU															1																											
ES,IT,UA																																					2					
ES,IT,US											1																															
ES,IT,US,null																													9													
ES,JO,PK,US																																									3	
ES,JP															3			2		1	3	1				1	11				9	3	5				2			2		
ES,JP,PL,TW																																									3	
ES,JP,RS																																	1									
ES,JP,UA														2																												
ES,JP,US																									2																	
ES,KR																																		7		6						
ES,LT																																			1							
ES,MA																														11												
ES,MA,PT																													2													
ES,MD																																		3						1		
ES,MD,RO																																	2	1		1						
ES,MD,RO,US																																							1			
ES,MD,UA																																						6				
ES,MX																							4	6		10	1			2	6		4		4			10	1	1	1	
ES,MX,PL																										8																
ES,MX,PL,US																																						16				
ES,NG																																						1				
ES,NL												1		2											7			28			2					2				19		
ES,NL,PT																							1																			
ES,NL,US																														5												
ES,NO																										1				1								27				
ES,NO,PL,US																																										
ES,PE																								2		7				5												
ES,PK																																3										
ES,PL																			5						1				1	4									5			
ES,PL,RU																						7																				
ES,PT															1										4	6	5	4	1	10	18	28	12	15	6	5	21	19		4		17
ES,RO																												1			1	3	7	5		1	5	4				
ES,RO,TR																																				16						
ES,RU																				2		9			1	1		12					3			1	4	1	2	19		7
ES,RU,TW																																										6
ES,SE								1																										2					3	2		
ES,SG																														7												
ES,SK																																		2	2		3		3	1		
ES,TN																																		4	2		4	5		1	2	3
ES,UA																																			7			10				
ES,US			4						16	8			2		1	1			4			6	7	4	2			3	13	12	9	28	30	16	32	27	11	30	6	2	1	8
ES,US,ZA																																								1		
ES,US,null																														3												
ES,UY																					2		4			6	3				2		9									
ES,VN																																						4				
ES,null										1																			10													
ET					31																																					
ET,IN																																							7			2
