	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
BE,GB,US,null																														22												
BE,GB,ZA																												3														
BE,GB,null																											6			43												
BE,GE																																										21
BE,GN																																			1	5					9	
BE,GR							34		124					80	16	43	17	17	16	66	40	54	50	12		75	23	25	54	103	91	56	55	37	79	39	13			73	29	4
BE,GR,HR																																35	14	29		52						
BE,GR,IT															10	38						8		12									3				16					8
BE,GR,JP																										20																
BE,GR,NL																														7												
BE,GR,PA																				1																				8		
BE,GR,SI																													15													
BE,GR,SK																							3																			
BE,GR,TH																																								2		
BE,GR,US									18																																	
BE,GR,ZA																																1	2									
BE,HK																																								39		
BE,HK,TH,TW																																								5		
BE,HK,TW																																							18			
BE,HR																										9	21	10	11	15	17	13		3		15		8	5	3	92	51
BE,HR,HU																																		6								
BE,HR,NL																						7																				
BE,HR,SI																									19			16				15	13		34							
BE,HR,SK																																						15				
BE,HU																	11	29			53	63	10		71	26		55	22	12	36	29	3	18	38	97	11	73	4	40	8	
BE,HU,KZ																																						14				
BE,HU,NL																											20															
BE,HU,NZ																										7																
BE,HU,PL																													47													
BE,HU,RU																					7		8																			
BE,HU,SI																								7																		
BE,HU,SI,SK																																22										
BE,HU,US						6																																				
BE,HU,UY																																					1					
BE,ID																													4													
BE,IE												3			19		5	1	3		39			3							31	1			92			28				28
BE,IE,IT																							25																	31		
BE,IE,PT																						13																				
BE,IE,US																																	4									
BE,IL				2																			9			39							13									
BE,IN	17	15		41	4	31	62	58	37	47		12	6	4			12	9	40	18	6	11		10	21	21	125	16	77	77	272	142	262	367	171	107	57	109	145	29	51	201
BE,IN,IT													1																			3	20						2			
BE,IN,IT,NL																															4											
BE,IN,JP																																		1			11					
BE,IN,JP,US																																		10								
BE,IN,MA																																										3
BE,IN,MA,PL																																									14	
BE,IN,MY																														4			57									
BE,IN,MY,RS																																					2					
BE,IN,PL																														2				3	1					1		
BE,IN,PL,SA																																		2								
BE,IN,PT																																		2								
BE,IN,RS																																					7	1	4			1
BE,IN,RS,SA																																					2					
BE,IN,RS,SA,TR																																					2					
BE,IN,RS,TR																																					1					
BE,IN,RU																																						20			1	
BE,IN,RU,TW																																						42				
BE,IN,SA																																		2	4	1						
BE,IN,SA,TR																																				2	1					
BE,IN,SE																																42										
BE,IN,TR																																	1			14					28	
BE,IN,TW																																	1									
BE,IN,US																			12								5					3			16		72				14	
BE,IN,US,ZA																															11											
BE,IN,ZA																																	12	20	20							
BE,IQ																														14	15					20		14				
BE,IQ,JO																																18										
BE,IQ,PK																															4						26					
BE,IR			3						3																										1		9			41		28
BE,IR,IT																																							23		26	
BE,IR,PL																																				29						
BE,IR,RU,US																																							3			
BE,IS,TH																																						4				
BE,IT					9			3		17							7		29	9	29	90	92	44	1	5	54	80	424	220	170	126	94	235	217	208	180	49	76	152	73	141
BE,IT,JP																					3													9								
BE,IT,KR																																			54							
BE,IT,LT																																		18								
BE,IT,MX																																	1	1								
BE,IT,NL																					10													12								
BE,IT,NL,PK																												10														
BE,IT,NL,SE																																						75				
BE,IT,NL,US																																15					10					
BE,IT,PL																														1	5											
BE,IT,PT																		7																								
BE,IT,RO																								25								2										
BE,IT,RO,US													7																													
BE,IT,RS																											24												6			
BE,IT,SA																																								8		26
BE,IT,SE																					22							43														
BE,IT,SE,US																																	32	25								
BE,IT,SI																							7																			
BE,IT,TN																																								1		
BE,IT,TR																																							40			25
BE,IT,TW,US																																			24							
BE,IT,US							12													17					14	35		38	44	22			87	92	44	17		22			15	3
BE,IT,US,ZA																															23	9		33								
BE,IT,VE																		8																								
BE,JO																					4																					
BE,JP	5			1			15	60		8				1		6	28		5		15	1		48		82	4	5	37	2	36	65	35	49		6	5	250	208	15	84	
BE,JP,LU,US																																					1					
BE,JP,NL																					2											1										
BE,JP,NL,PK																																6										
BE,JP,PL																											25		13												6	
BE,JP,RU																																									11	
BE,JP,UA																	2																									
BE,JP,US										2										11	11									54	29					56					77	
BE,KR				7				1	7																8	23			13	32				25	6		64	5				1
BE,KR,RU																																						2				
BE,KR,US																									17																	
BE,KW,SA																																								9		
BE,KZ																						6											1					1				
BE,LT															1													42			22	20			9	32						
BE,LT,TW																																5										
BE,LU																													5					12			3					
BE,LV																																										7
BE,MA																					1													4	5			22	34		52	
BE,MA,NG																																							13			
BE,MA,PK,SA,TR																																										4
BE,MA,RO																																									5	
BE,MA,RO,SA																																						4				
BE,MA,SA																																			7							
BE,MA,TR																																									2	
BE,MA,US																																							3	3		
BE,MC																				18	48																					
BE,MD																																							11			
BE,MG																								1											1			1				
BE,MY											1	4			8	1	1					5																				
BE,NL	1	1	12		1	5	3		155		14	8	2	19	24		17	2	9	4	14	15	29	9	1	5	5	17	32	62	131	66	30	117	7	78	83	209	127	221	140	37
BE,NL,PL																																			88							
BE,NL,PT																									5																	
BE,NL,SE																							7																			
BE,NL,SI																																			57							
BE,NL,US																											1		1						10							4
BE,NL,ZA																																	44									
BE,NO															50				5										62	107		61	58				7			22		
BE,NO,SE																																										2
BE,NO,TR																																		9								
BE,NO,TW																																						21				
BE,NO,US																																							15			
BE,NO,VN																																	20									
BE,NP,US																																		30								
BE,NZ				7	2					5														34							25	12	17									
BE,NZ,SA,US																																		8								
BE,NZ,US																																35										
BE,None																					16																					
BE,PA																																							2		9	
BE,PK																																					48	112		7		
BE,PK,SA																																										1
BE,PL	20	2		13	16	1		18	6						5		3		2		2	29	8		25	45	74	42	44	12	3	84	292	239	102	167	77	54	67	88	40	147
BE,PL,RO																																				1						
BE,PL,RU																												5											3			
BE,PL,US																											18				3										15	
BE,PL,null																												1														
BE,PR									19																																	1
BE,PT			4																	2	13		1			10	34	1	41	4				8	1			1			12	
BE,PT,TH																																4										
BE,PT,TH,US																																2										
BE,PT,US																					3																					
BE,RO																						2	7				1						6	3						6	17	
BE,RO,RU																																							23			
BE,RO,US							8																													7						
BE,RS							4	3				2	2	5									16		1							13	8				52		9	3		
BE,RS,SI																																								2		
BE,RS,US																													14													
BE,RS,VN																																			56							
BE,RU											75			3	11	25	81	48	80	44	56	129	139	19	19	45	59	98	118	36	41	5	65	35	123	45	39	38	213	144	129	192
BE,RU,SE																																1		6								
BE,RU,SI																																								17		
BE,RU,TW																													30		13				11			20				48
BE,RU,TZ																																			20							
BE,RU,UA																																11										
BE,RU,US																											4		1	6	38		77	30	120	28	13					
BE,RU,UZ																									3																	
BE,RW	1					1																																				
BE,SA																											7												17	18	7	
BE,SE																			9						2		8	190		184	151	72	189	50	9	55	6	43			2	
BE,SE,US																								5												53					14	
BE,SE,null																												17														
BE,SG																																									5	
BE,SI																					28			7						20	2	56	2	27		9		189	6	88		
BE,SK																					18							11														
BE,SY																	8																									
BE,TH																										7														1		
BE,TN					28	43	8																											9			19	4	8	3	1	
BE,TR																										20	20	23	9		1	12			27	98	154	36	88	44	12	40
BE,TR,US																																	24									
BE,TW																												58	19		119		18		35	65				75		19
BE,TZ																										1									10					3		
BE,TZ,US																																11										
BE,UA														11															1	17			56	21			43			4		
BE,UA,US,null																												8														
BE,US	2	13	6	10	1	3		13	1	105	2	21	51	51	23	42	9	294	84	64	151	61	124	60	35	96	228	258	88	390	369	457	234	378	87	227	309	314	368	352	321	720
BE,US,VN																																					3					
BE,US,ZA																				1										4						3		5				
BE,VN																								8					4	11	29	52		26	116	89		120	19		8	43
BE,ZA			21	5			2			1	1													7	67	2	64	32		4	22	4	58	26	40				29	46		
BE,ZA,null																													29													
BE,null					9		1		3																			44	58	31								17				
BF																	3								28								3									
BF,CH,GB																																										47
BF,CI																													2													
BF,CI,FR																												1														
BF,CM,FR																																								3		
BF,DK																												3	1													
BF,FR										2		35							4					4			5				1							2		1		
BF,FR,SN																															2											
BF,IT																																							5			
BF,IT,PT																																								3		
BF,PK																																										
BF,US																																										2
BG	609	754	606	807	517	430	1043	621	928	741	466	432	408	223	281	263	156	295	161	207	109	99	154	132	239	308	236	108	139	218	275	201	269	414	144	163	204	279	220	228	148	133
BG,BR																																	1									
BG,BR,CO																																								1		
BG,BR,FR																					1																					
BG,BR,US																																								1		
BG,BY													1																													
BG,CA			3																					8						5												
BG,CA,CZ																															1											
BG,CA,SK,US																																									1	
BG,CH						5				12	29	13		7	15	14			29		11		2	6	4	4	8		9	12	4	10			16	3			11	10		
BG,CH,CZ																																								1		
BG,CH,DE																								14	7			4														
BG,CH,DE,DK																																			1							
BG,CH,DE,MK																																		8								
BG,CH,DE,MN																6																										
BG,CH,DK																																						1			2	
BG,CH,HR																																							14			
BG,CH,IT													5																											34		
BG,CH,MN															4																											
BG,CH,MX																															4											
BG,CH,RS																																							7			
BG,CI,MU,TR																																									6	
BG,CN																													2	62					8						4	
BG,CN,CZ																																									5	
BG,CN,CZ,RU																																								10		9
BG,CN,DE,ES,SE																																										
BG,CN,DE,HK,SE																																										
BG,CN,FR																							1																			
BG,CN,GB																																							1			
BG,CN,IR																																								1		
BG,CN,RU																																								33		
BG,CU,ES																															3											
BG,CZ			3	23		3			5																				2	3		9				3	7	3	14	10	2	
BG,CZ,DE																																							14			
BG,CZ,DE,GR																																								31		
BG,CZ,DZ																																		1								
BG,CZ,FR,RS																																							1			
BG,CZ,HU																																				3						
BG,CZ,JP																																										
BG,CZ,PT																																					11					
BG,CZ,PT,SK																																					3					
BG,CZ,SI																																										19
BG,CZ,TR																																										3
BG,CZ,US																																							4			
BG,DE			17	11	19	8	52	22	27	4	3	23	37	6	64	25	3	94	67	84	3	14		84	16	37	34	70	36	47	34	8	12		17	24	8	12	28	3	42	29
BG,DE,DK																										1																
BG,DE,EG															5																											
BG,DE,EG,HU																	8																									
BG,DE,ES											1																								19		8					
BG,DE,ES,MX,SG			13																																							
BG,DE,ES,PL			16																																							
BG,DE,FI																																			10							
BG,DE,FR																																	17									
BG,DE,FR,MA															3																											
BG,DE,GB			2										5		8			7		16																			2			
BG,DE,GR																													15													
BG,DE,HR																														6											9	21
BG,DE,HR,IT										11																																
BG,DE,IN																3														2												
BG,DE,IR,TR																														1												
BG,DE,IT																																							6			
BG,DE,JO																																					21					
BG,DE,JP																																									7	
BG,DE,KR																							1																			
BG,DE,MK																											11															
BG,DE,PK,SA																																						2				
BG,DE,PL									1																									21								
BG,DE,RS																															6				5							
BG,DE,RU																																26							3			
BG,DE,US																																								3	30	8
BG,DE,null			4																																							
BG,DK																												7					1	1			1	5				
BG,DK,HR																																										
BG,DK,JP																																			2							
BG,DK,NL																											2															
BG,DK,RS																																								7	3	
BG,DZ																																						1				
BG,DZ,IT																																									2	
BG,EG																									2		3		15										1			6
BG,EG,FR																										2																
BG,EG,SA																															3											
BG,ES											11	2	6	1				2	36	1				2					2	16	9	4	10		3	4	6	4			21	
BG,ES,FI																			1																							
BG,ES,GB														30																												
BG,ES,IT													3																													
BG,ES,PL																					11																					
BG,ES,SA																																		4								
BG,ES,TR																																1										
BG,ES,US													12												2																	
BG,FI																																										22
BG,FI,HU																	59																									
BG,FI,RU																																										9
BG,FI,UA																																								8		
BG,FR	37		6						9	20	35		13		32	55	18	7	36	15	18	45	28	17	10	3	7	4	41	8	22	14	19	5		47		21			7	47
BG,FR,GB																											26															
BG,FR,GB,RU																									2		12															
BG,FR,JP								2																																		
BG,FR,PL																											1															
BG,FR,RS																																						3				
BG,FR,RU																														47				2			27				2	
BG,FR,RU,UA																																									12	
BG,FR,RU,US																																	4		7							
BG,FR,SD																																				1						
BG,FR,UA																																		3								
BG,FR,US	8																																									
BG,GB			2												6		7	9	6	21			2	14			3											1				
BG,GB,IE																																				32						
BG,GB,IN																																			3							
BG,GB,PT																																										1
BG,GB,RU																																										2
BG,GB,US																				10		13																				
BG,GE		10																																								
BG,GR								1		15	36	32	18	21	2	12		18	4					7		10			5									3				
BG,GR,IN,RS																														19												
BG,GR,IT,RS																																						3				
BG,GR,PL																										5																
BG,GR,RU										1																																
BG,HR																							1						8			12	7					11				5
BG,HR,MK																8				3																						
BG,HR,PL																																									1	
BG,HU		8				3	2																								4							2		8		
BG,HU,NL			2																																							
BG,HU,US																																			15							
BG,ID																															7											
BG,IE																													8		6				3					3		
BG,IL,NL																												1														
BG,IN						13				1	1																						5	5	6							7
BG,IR			41																													5									1	
BG,IR,IT																																2										
BG,IR,PL																												1														
BG,IR,US																																								5		
BG,IT			8	3	2		14											9		5	2	3	1	6	2	16	3		11	6						8					16	2
BG,IT,KR,MU,TR																																							6			
BG,IT,MU,TR																																									1	
BG,IT,NL																																				18						
BG,IT,RS																																				6	27			2		
BG,IT,RU		2																																								
BG,IT,SI																															8											
BG,IT,TR																						2																				
BG,IT,US																																						4			6	
BG,JP	2	6	4	10	2	4	7			7		29													3		1			1		9		1		4						7
BG,KE																														2												
BG,KZ					2																																					
BG,LC,null																										15																
BG,LT					1																																					
BG,MA																																										10
BG,MK																				6	8		1																2			
BG,MN											8			1															2				1							1		
BG,MT																															6											
BG,MU,RO,RS,TR																																						1				
BG,MU,TR																																								12		
BG,MX																																	4				3					
BG,MY,NZ,PK,SA																																					1					
BG,MZ																		16																								
BG,NG																				4																						
BG,NL																		1									3								1							
BG,PK,SA																																				2		2	2			
BG,PL		13			12				5		8				1		1	5		4	10	8			4			5		6		4							7	14		11
BG,PL,US																																		5			2					
BG,PT																																	15	8		1		3			9	
BG,PT,RU																																										6
BG,RO		3																9																								8
BG,RO,SK																																									1	
BG,RS																															1	3	7		8			13		2		
BG,RS,SI																																			1							
BG,RU	19	29	42	84	27	9	12	2	40	1	16			4		11			3	20	14	8	3	59		5		1	11								11	16	2		18	5
BG,RU,UA																					24																					
BG,SA																																		7	9			16		5	3	
BG,SA,TR																																			5							
BG,SE	2										6	7										2			6																	
BG,SK																					2														1	7						
BG,TR																			3																3		2		3	8	1	1
BG,UA																				16	4							1			32					18			51	5		
BG,US	7	8	7	5			1	6		1		8	4	10						3	2				13	16	2		83	9			14	1					2	3	9	1
BG,VE																								2																		
BG,VN																																							2		15	
BG,ZA																							1																			
BG,null				1	8						3				4									20																		
BH										2		5	2	1	7	5	19	5		4												8					2					
BH,CN,JP,KR,PK																																									11	
BH,CN,PK,SA																																										
BH,CZ,DE												2																														
BH,DE,PK																																									4	
BH,DE,PK,SA																																										2
BH,EG									2																																	
BH,EG,FR																																								1		
BH,EG,FR,PK,SA																																										22
BH,EG,KR,PK,SA																																									1	
BH,EG,NZ																																							21			
BH,FR																																						26				
BH,GB									9																																	
BH,GB,IE																																	7									
BH,GB,IT																																										35
BH,IN																		21																	1							
BH,IN,SA																																								1		
BH,IN,SA,TR																																										5
BH,IT																																								24	11	
BH,IT,US																																						3			19	
BH,KR,PK,SA																																									10	9
BH,KR,SA																																			1	1						
BH,PK																																									3	4
BH,PK,SA																																										11
BH,PK,TH																																									10	
BH,PK,TR																																										1
BH,SA																																						1				15
BH,TR																																							6			
BH,TW																																	3									
BH,US									18		33																															
BI,CN																														7											1	1
BI,FR																										6		40	63		6		2						32		4	
BJ,CG,FR																																										
BJ,DE																																										1
BJ,FR																																										19
BJ,GB,RO																																						4				
BN								16							5																	15									4	
BN,CH,KR																																		1								
BN,FR												4																														
BN,GB						16						2	10																		11				61							
BN,GB,MY																								3			3															
BN,GB,SG																																			3							
BN,ID,JO,MY																																										3
BN,ID,MY,TW																																										2
BN,IT																																										22
BN,JO																																										
BN,JO,MY																																									3	
BN,JP																																							3			
BN,MY,US																					2																					
BN,SG																															15	12										
BN,SG,TW																															4											
BN,US											8					23		5	2		3													6			8					
BO								35													6																					
BO,BR,ES																															20											
BO,CA																																								1	5	
BO,CL,FR,GB																	5																									
BO,CO																									6													5	40			
BO,CO,MX																																			1							
BO,DE																								2																		
BO,ES																						1				26	8	35	7	13		34			6			4				8
BO,ES,GB																		3																								
BO,ES,PE																					35																					
BO,ES,SE																												5						5								
BO,FR							4							9	2	5			2			1								3												
BO,GB,MX																															1											
BO,IT																		3	1																							
BO,IT,NC																		15																								
BO,MX								22																												11						8
BO,MX,SE																														2												
BO,NZ																											2															
BO,SE																																		4	17			3		66	18	1
BO,VE																					16														3							
BR	386	123	355	226	167	181	241	265	223	201	210	338	315	366	417	698	642	877	954	1162	1287	1443	1100	1272	1348	1412	1305	1820	1791	2103	2105	2618	2632	2721	3010	2701	3483	3425	3776	4163	3266	3054
BR,CA	8	45		18	2	15	7						22	7	14	28	11	53	28	8	4				6		8		6	2	2	78	117	18	14	57	89	33	5	58	55	54
BR,CA,CL																																		1								
BR,CA,CN																																						13				
BR,CA,CU,NL																																								8		
BR,CA,CZ,IT																																									10	
BR,CA,CZ,US																																								19		
BR,CA,DE																																							9			
BR,CA,DE,GB																																							1			
BR,CA,FI																																							3			
BR,CA,FR												2				1																										
BR,CA,GB																																			14			3				
BR,CA,GR,PL																						3																				
BR,CA,HU																																									6	
BR,CA,IN																																				24						
BR,CA,JP																																				1						
BR,CA,KW,US																						1													10							
BR,CA,PK,SA																																										7
BR,CA,PK,US																										5																
BR,CA,PT																							1																			
BR,CA,PT,US										1																												1				
BR,CA,US																				1													5	21			3	36				2
BR,CA,VE																					1																					
BR,CH			2											1	2	3		6			8		2		19				15	4	1	23	1	15	67	28	1	24	24	22	1	
BR,CH,CO,ES																																					5					
BR,CH,CR,DE																															2											
BR,CH,DE																									11						7					14	50		3		50	
BR,CH,DE,GR,IT,PT																																									54	
BR,CH,DE,IT																																						22				
BR,CH,ES																																						2				
BR,CH,ES,FR,PT																																		1								
BR,CH,ES,GB,KH,NL,UG,US																																										3
BR,CH,ES,SG,UG,US																																										223
BR,CH,FR																																					13					
BR,CH,FR,IR																																						7				
BR,CH,FR,IT																																										13
BR,CH,FR,PT																									18																	
BR,CH,GB																2																32								4	3	
BR,CH,GB,NL																																				3						
BR,CH,GB,US						1																																				
BR,CH,IR																																					9				1	
BR,CH,KR																																		4								
BR,CH,MA,PK,SA																																	9									
BR,CH,NZ																															7											
BR,CH,RU																								1																		
BR,CH,US																																						11		6		
BR,CI,FR,PL,PT,SE,US																															25											
BR,CL								9		16	9	13	1	13	26	2	5				3		2	1			4	8	44	20		4	2	12	1	12	8	26	8	17	17	41
BR,CL,CU																																							3		86	
BR,CL,DE												12																								4					1	
BR,CL,ES																																				2					1	
BR,CL,ES,GB																										2																
BR,CL,FR																															2						9	1				9
BR,CL,FR,IE																															4											
BR,CL,GB																									1																	
BR,CL,IN																													8													
BR,CL,IT																																							6			
BR,CL,PK																																									8	
BR,CL,US																													3							5						10
BR,CM																																				1						
BR,CM,DE																																					7					
BR,CM,GR																																						2				
BR,CN																		3			30	6	16	11					10						154	30	5	63		1		
BR,CN,DE																													26											2		3
BR,CN,DE,SG																																							31			
BR,CN,FI																																								7		
BR,CN,FR,IN,RU																																					1					
BR,CN,FR,JP																																		2								
BR,CN,GB,HK,OM																																										2
BR,CN,GB,HK,OM,TR																																									1	
BR,CN,IN																																								1	1	
BR,CN,IN,US																																										2
BR,CN,IT																															12											
BR,CN,IT,MZ																																										3
BR,CN,JP,US																																					1		68			
BR,CN,KW																																	60									
BR,CN,NL,PT																																									4	
BR,CN,PK																																										
BR,CN,PK,SA																																									14	
BR,CN,PT,US																																									1	
BR,CN,RU																																							28			
BR,CN,TW																																								15		
BR,CN,US																2																				20	29	29	22	4		66
BR,CO					3		3											10					4								1	1		5	13	14	20	1	4	20	42	11
BR,CO,DE																		6																								3
BR,CO,EC																																								5		
BR,CO,ES																			7															5							1	
BR,CO,FR																																					6					
BR,CO,GB,US																														2												
BR,CO,IL										10																																
BR,CO,JP																																				3						
BR,CO,MX																		6																					17			
BR,CR																			4	2				2															2			21
BR,CR,DE																									1						3			4								
BR,CU																				4	6									2		41	1	53	8	55	36	36		21		12
BR,CU,DE																								13											38							
BR,CU,ES																										1												19				
BR,CU,MX																											3											1				
BR,CZ															1																1					4	1	34	5	1	10	
BR,CZ,DE,IT																																							3			
BR,CZ,EE																																										11
BR,CZ,ES																																								4		
BR,CZ,ES,IT																																										23
BR,CZ,FR																									1					2												
BR,CZ,FR,IT																																									20	
BR,CZ,GB																					6													3						5		
BR,CZ,IT																																				26						
BR,CZ,IT,US																																							3			
BR,CZ,US																12																								6		
BR,DE		17	10	20	4	1	22	14	2	2	11	9	7	27	6	31	46	9	25	62	31	31	68	63	84	22	9	22	75	35	51	80	58	64	66	97	144	217	155	321	291	278
BR,DE,DK																																			6			2				
BR,DE,DK,GB																																						7				
BR,DE,DK,PT																																								1		
BR,DE,EG																														10												
BR,DE,ES																			1	1		2		2															3			
BR,DE,ES,FI,GR,PT																																										
BR,DE,ES,FR																																									1	
BR,DE,ES,IT																																					9					
BR,DE,ES,IT,PT																																					3					
BR,DE,ES,RO																																						1				
BR,DE,FR													3							3																5		3		5		
BR,DE,FR,HU		1																																								
BR,DE,FR,SN																																							2			
BR,DE,GB																												2			22			1		5					4	23
BR,DE,GB,US																																							5			
BR,DE,HR																															10											
BR,DE,HU																																							2			
BR,DE,IE																																										1
BR,DE,IL						7							5																							22						
BR,DE,IN																																										4
BR,DE,IR,KR																																										
BR,DE,IT																															3								113	114		1
BR,DE,IT,PT																																						13	50		1	
BR,DE,JO,NP																																										2
BR,DE,JP																																				13		16			37	
BR,DE,LB,TH																																							4			
BR,DE,MD,RO																																									13	
BR,DE,MX																															9											
BR,DE,NL																							2							4											50	
BR,DE,NO																																									17	
BR,DE,PK,SA																																										
BR,DE,PL																																7	8		2							
BR,DE,PT																																								1		
BR,DE,SE																															8											8
BR,DE,US									2				2				6				4														1						11	
BR,DE,UY																																	4									
BR,DE,VN																													14			25										
BR,DE,null																												1														
BR,DK																	2	1												18				5	59			5	9	20		
BR,DK,GB,IN																																	7									
BR,DK,IE																																					14					
BR,DK,NL																	2																									
BR,DK,PT																																		2			3					
BR,DK,US																																			6							36
BR,DZ																					3																					
BR,DZ,ES																																								32		
BR,EC																																							15		10	8
BR,EC,PT																																						5				
BR,EC,US																																					2					
BR,EE,GB																																										3
BR,EG																														4							9			1	2	68
BR,EG,GB																																					26	27				
BR,EG,IT																																								1		
BR,EG,NG,TW,ZA																																										1
BR,EG,PH,US																																	1									
BR,ES						2	6	7		2	35	68	13	16	6	8	13	3	2	61	26	28	21	19	44	31	39	31	55	36	85	73	68	160	145	218	127	143	223	121	31	85
BR,ES,FI																																									17	
BR,ES,FR									3															2				11		3		6		1						2		5
BR,ES,GB																									7			7		2			5				5	18				
BR,ES,GB,IT,US																																					17					
BR,ES,GB,PK																																	2	1								
BR,ES,GB,PT																																										
BR,ES,GB,US,UY																																							24			
BR,ES,GR																														16												
BR,ES,HU																																					11					
BR,ES,HU,UY																																				1						
BR,ES,IN																																		5								
BR,ES,IN,PT																																		7								
BR,ES,IR																																			1							
BR,ES,IT														2																									17			
BR,ES,IT,PL																																									8	
BR,ES,IT,PT																														2												
BR,ES,IT,RO																																				6						
BR,ES,IT,UY																																				5						
BR,ES,KE,PK																																										
BR,ES,MX,US																			2																							
BR,ES,MY																															1											
BR,ES,NO																																							27		10	12
BR,ES,PA																																										47
BR,ES,PL																															1											
BR,ES,PT																										4	12				2				9	27		6	2			13
BR,ES,PT,UY																																	5									
BR,ES,RO																						4						4														
BR,ES,SG																																								10		
BR,ES,US									7										2	7						3		5												32		
BR,ES,UY																										1			16						2		7					
BR,FI					3																													5	5		9		2		3	
BR,FI,GB																																					2			1		
BR,FI,IN,SE																																										13
BR,FI,IT																																		24								
BR,FI,IT,TR																																	28									
BR,FI,SE																																								3		
BR,FI,SE,TZ																																										
BR,FI,UA																																								4		
BR,FJ,US																						7																				
BR,FR			24		21	9	1	8	12	2	67	20	24	159	5	9	42	12	46	109	40	39	32	123	60	66	122	96	76	21	71	105	84	132	83	72	99	130	97	54	103	164
BR,FR,GB												1		8																							3		2	23		
BR,FR,GB,IT,PT																																										1
BR,FR,GB,MY																												1														
BR,FR,GB,US																																				3		10				
BR,FR,GR																																				3						
BR,FR,HU																																	19									
BR,FR,IE																																									28	
BR,FR,IN																																									33	
BR,FR,IT																																5										
BR,FR,JP																					3																					
BR,FR,MA																																										1
BR,FR,NL																																					2		3			
BR,FR,None																						5																				
BR,FR,PK																														8												
BR,FR,PL																																							4			
BR,FR,PT																			3																							
BR,FR,PT,VE																																									2	
BR,FR,PY																										5																
BR,FR,RO																																										16
BR,FR,SA,TN																																								3		
BR,FR,SE																																						8	14			
BR,FR,SN																																	5									
BR,FR,TN														7																								42				
BR,FR,TR																																				3						
BR,FR,US																																18							33			
BR,GB		70	5								1	1	14	6	21	6	37	7	15	44	67	120	30	44	46	77	74	34	5	135	105	47	120	53	194	249	144	112	215	278	234	174
BR,GB,IL,IT																																								29		
BR,GB,IN																																								10		
BR,GB,IN,MY,SG																																	3									
BR,GB,IN,PL,TZ,US																																										1
BR,GB,IT				1																		16		6							18						84	9	4	1		50
BR,GB,IT,NG																																							15			
BR,GB,IT,SE																																					33					
BR,GB,IT,US															13																											
BR,GB,IT,ZA																																										27
BR,GB,JP																																										30
BR,GB,JP,US																										1																
BR,GB,KR																				1																						
BR,GB,MY																														3												1
BR,GB,NZ																					16																18					
BR,GB,PK																						11											19									
BR,GB,PK,SA																																										
BR,GB,PS																																										7
BR,GB,PT																							12	3					10				17	40			1		6	17	10	1
BR,GB,SN																																	4									
BR,GB,US																	34			24					3		6						101			34		14	20	68	1	
BR,GB,US,ZA																										16																
BR,GB,ZA																												27														
BR,GR																																21			5							
BR,GR,MX																									4																	
BR,HR																													3													
BR,HU								3		3																				15							4	4		2		4
BR,HU,IE,PL																																							4			
BR,HU,IT									2	2																																
BR,HU,PL																																						2				
BR,HU,US																																									8	
BR,IE																																				13	16	8	5	2	9	3
BR,IE,IT																																								15		
BR,IE,PL																																										
BR,IE,PT																																									1	
BR,IE,RS																															4											
BR,IE,SA																																									69	
BR,IL	16	11	12	4		5	5		3		9	3						1																		11						
BR,IN																9									6		6		2	8	14			68	108	36	7	53		73	24	2
BR,IN,IT																																									6	
BR,IN,IT,KR,SA																																						4				
BR,IN,MA																																	12									
BR,IN,MY																																										18
BR,IN,PL																																				1						
BR,IN,RU																																						40	40			
BR,IN,SA																																										26
BR,IN,SE																																						20				
BR,IN,US																												40				2				26					7	
BR,IN,null																														2												
BR,IR																																							1	2		
BR,IR,PK																																								3		
BR,IR,PY,TH																																										1
BR,IS,US																																						3				
BR,IT		5	5	8		4	5	12	2	17	3	20	20	9	16	16	18	19	17	7	69	10	15	26	11	20	35	71	46	17	29	72	65	34	95	85	144	95	109	65	59	66
BR,IT,JP																																								9		
BR,IT,MY																																					5					
BR,IT,NL																										1																
BR,IT,PL																																										6
BR,IT,PT																																1										
BR,IT,RO																																							18			
BR,IT,SA																																			4				1			
BR,IT,SE																																							36			
BR,IT,US																					1													6	11	5		14				
BR,IT,UY																													5						4							
BR,JP							11	4	5					4					5	11	6	1	4	8	24			6		2	12	31				18	21	36	8		75	7
BR,JP,TW																																								3		
BR,JP,US																						1										1	14						118			
BR,JP,UY																																	5									
BR,KE																																					12					3
BR,KR																																				2						
BR,KW,US																															37											
BR,KZ,US																																				4						
BR,LT,PL																																							5			
BR,MA																																									2	
BR,MX															3			5		1								2		44	31			14	17	2	2	1	23	12	10	8
BR,MX,PT,US																													9													
BR,MX,SE																																								3		
BR,MX,US																				3															1							
BR,MX,UY																														1												
BR,MY																														67	10	36		4			11					
BR,MY,PT																																		1								
BR,MZ																																							1			
BR,MZ,PT																																2										
BR,NG																												32	38													
BR,NL																7	4		8		7	7	3								2	23						16	13		23	122
BR,NL,US																																							222	30		
BR,NL,VE																																										
BR,NO																												12									2					
BR,NP																																		1								
BR,NZ																																										
BR,None																						5																				
BR,OM,PK																																									16	
BR,PA,US																																					4					
BR,PE																								1	6	1										7						
