	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
AM,DE,KZ																																	10	29								
AM,DE,PL																																										1
AM,DE,RU																								1								41										
AM,DE,US																10	53																									
AM,DK																								19																		
AM,EG,SA																																									17	
AM,FR																																	45					1				
AM,FR,IT																																							16			
AM,FR,JP																																										
AM,GB																							5																			
AM,GB,RU																				8																			4	2		
AM,GR																																							14			
AM,GR,IN,IT,RU,UA																																										31
AM,GR,IT																																	61	32	31	29	61		91		26	
AM,GR,IT,RS,RU																																									17	
AM,GR,IT,RU																																		40								21
AM,GR,IT,US																																				86			38		56	22
AM,GR,US																																									16	
AM,IN												1																											3	1		
AM,IR																															5	1										
AM,IR,TW																								7																		
AM,IT																																					5					
AM,IT,JP,RU																																										
AM,IT,PL																																								9		
AM,KR,RU,UZ																									5																	
AM,KZ,US																																	38									
AM,LV																			6																							
AM,NL,RU																																18										
AM,NL,RU,US																																										12
AM,PL																																							28			
AM,RU			35	31	9						18		16				2		1		6	33		44	18	39	8			30	8	11	44	1	51	157	19	67	28	14	33	79
AM,SA																																									1	
AM,UA																																					20					
AM,US																				14	2	4	8	4	7	21	1	13		43	6	64	52	31		2	47				13	
AO,AT,DE																																						6				
AO,BR,PT																														5	5											
AO,PT																								15			49			3	1	7	3									
AR	63	74	75	68	116	176	281	153	206	142	213	156	174	156	314	320	274	275	388	608	346	529	431	285	425	509	359	526	429	589	714	768	576	677	351	612	509	692	572	496	344	312
AR,AT																																2	35	3								
AR,AT,DE,US																																7										
AR,AT,FR																				22																						
AR,AU													1			8				1		6			7								4									
AR,AU,BR,US																																			1							
AR,AU,CL																																										26
AR,AU,ES																								9																		
AR,AU,IT,US																																								1		
AR,AU,US											9																															
AR,BD																																	3									
AR,BD,DE																																			10							
