1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	
AT,CN,DE,IT,RO																																								3		
AT,CN,GB																																							4			
AT,CN,IN																																			6							
AT,CN,NL										1	7																															
AT,CO																																	1									
AT,CU																4		4																								
AT,CZ																							3						7								4		38	13		
AT,CZ,DE																												4										3				
AT,CZ,DE,MD,SK																																	4									
AT,CZ,DE,SK																															14											
AT,CZ,JP,RU,UA																																		13								
AT,CZ,JP,US																																			1	2						
AT,CZ,RU																																							6		3	
AT,CZ,RU,SE																																						3				
AT,CZ,RU,SK																																							20			
AT,CZ,SK																																							1			
AT,CZ,UA																																			4	3						
AT,CZ,US																																			10	9		6	15	2	11	
AT,DE	4	4	18			2	8		4	3	7			2	1	23	4	9	14	7	26	8	21	39	29	70	28	15	63	50	109	28	104	58	46	44	51	78	33	52	101	51
AT,DE,EG,ES																				2																						
AT,DE,ES																																					4					
AT,DE,FI																																					1					8
AT,DE,FR																				10								3					2	1							7	
AT,DE,GB								2																				1						7					3		6	
AT,DE,GB,JP																				3																						
AT,DE,GR,IT,PL,SI																																				1						
AT,DE,HK,RU,SG,SK,US																																									4	
AT,DE,HK,US																																										5
AT,DE,HU		8																																	19							
AT,DE,HU,MD,RO,SK																																		4								
AT,DE,IE,PK,ZA																																			4							
AT,DE,IL																						1																				16
AT,DE,IL,IT																																										
AT,DE,IN																								32						6	2				5			7		13		
AT,DE,IT							7														5						1			16	5											
AT,DE,IT,US																												1														
AT,DE,JP,SK																				7																						
AT,DE,LI																																						1				
AT,DE,MD																									4			7	3													
AT,DE,MX																													16													
AT,DE,NL																													1	4											6	
AT,DE,NL,US																																										1
AT,DE,NO																																							6	22		
AT,DE,PT,RO,SK,US																																	13									
AT,DE,RU																							4																			
AT,DE,SE																																							2			
AT,DE,SI																					4																					
AT,DE,SK																	1		2	4		13			3							14	1		2				1			
AT,DE,TH																																									1	
AT,DE,US																				7				20					1	9	8	1						16	51			
AT,DE,null							3																																			
AT,DK																																	30	18			1					
AT,DK,NL,SE																																										21
AT,DK,NL,SE,US																																						1				
AT,DK,PH																													5													
AT,DK,US																																	1									
AT,EG										1	2	3	13						8	14			4	3				1	44			14		15	10	14	2	12	2			4
AT,EG,ES																				1		2																				
AT,EG,ES,KW																					1																					
AT,EG,GB,NZ																													2													
AT,EG,IQ																																					4					
AT,EG,JP,US																																										
AT,EG,KW																1		2	3																							
AT,EG,LY																																									2	
AT,EG,SA																																			1					4		
AT,EG,SE																											4															
AT,EG,US																																								6		1
AT,ES						5												1	8	15	12	33	97	28	4	25		5	25	3	45	3	21	12	7	9	53	3	6		6	6
AT,ES,FR																					2		3		5		18															
AT,ES,FR,RO																					1																					
AT,ES,GB																							1		13					23								3				
AT,ES,GB,IN																						3																				
AT,ES,GR																									4						4											
AT,ES,HU,NZ,RS,SG,SK																																							12			
AT,ES,IN																													7		3		5									
AT,ES,IT																							3			6														2		
AT,ES,KW																		2																								
AT,ES,MX,US																										5																
AT,ES,NL																16																										
AT,ES,PT																						7	7	2												23						
AT,ES,SA																																		8								
AT,ES,US																				6				3		10	2	18	5		8	8	17	7	5	2		4	4	7		5
AT,ET																															5											
AT,FI																																					1				3	1
AT,FI,NL,RU																																								7		
AT,FI,PT,RU																						7			5																	
AT,FI,RU																																							14			
AT,FI,SE																																					4		3			
AT,FI,SE,UA																																									1	
AT,FI,SE,US																																									4	
AT,FJ,HU																																									6	
AT,FR	1														33			14	13	4	8		1					1			1	14	14		29	4	2				7	1
AT,FR,HU																																4	4			7						
AT,FR,HU,IN,SG,SK																																						14				
AT,FR,HU,SK																																					11					
AT,FR,ID																								2																		
AT,FR,IL																		6																								
AT,FR,IN																															2				4							
AT,FR,IT																			19																							
AT,FR,JP																																	5									
AT,FR,MD																																	20									
AT,FR,MD,PL																						4		9																		
AT,FR,MD,PT,SK																																				10						
AT,FR,NZ																																						6				
AT,FR,PL																																	6									
AT,FR,RO																					1																					
AT,FR,RS																																				15						
AT,FR,RS,SK																																			7							
AT,FR,RU																																							17			
AT,FR,UA																							4																			
AT,GB									4			1														9			20				2	6		7				14	12	
AT,GB,HU																																										15
AT,GB,HU,ME,RS																									3																	
AT,GB,IN																																								18		
AT,GB,IT																										6	2											10				
AT,GB,JP,RU																																		2								
AT,GB,NL,UA,US																					3																					
AT,GB,PL,UA																																5										
AT,GR																																	4			1						
AT,GR,NL																																						2				
AT,GR,RO																																			2							
AT,GR,SI																																4										
AT,GR,US																																								1		
AT,HK,HU,LI,NO,RO,RS,SK																																									7	
AT,HK,SG,SK																																										5
AT,HR																				2	13	28		1			2	12														
AT,HR,HU																																				3						
AT,HU																		6		34					7						5	10	17	2	12	8	3	20	2	18	10	1
AT,HU,IT,MD,RO,SK																																								4		
AT,HU,NO,RS,RU,SK																																									9	
AT,HU,NZ																																		3								
AT,HU,RO				15																5		2																				
AT,HU,RS																																				3						
AT,HU,RS,SG,SK																																								5		
AT,HU,RS,ZA																																					6					
AT,HU,RU,SE,TH																																1										
AT,IL																				12	1		7	2		3													5			
AT,IL,IN																																			2							
AT,IL,RU																									1																	
AT,IL,US																																			9							
AT,IN																							10		2			2	7	2	7	14	24	4	20	23	7	10	28			
AT,IN,IT																																					3	6				
AT,IN,NZ																																					3					
AT,IN,RU																																					6					
AT,IR																									4	14	25		6	10	21	7	7	30	12		1	1				8
AT,IR,IT																								1																		
AT,IR,PT																																					3					
AT,IR,SE																																5										
AT,IT																5				19	13		7		7				14	8	3	13		10		26	21	9		5	40	
AT,IT,JP																																			3							
AT,IT,PT																																				2		10				
AT,IT,PT,RO,RU,SK																																										14
AT,IT,PT,RO,SK																																							6			
AT,JO																											4															
AT,JO,MD																												6														
AT,JP										4					6				3		14				4		15												10			
AT,JP,PT																																					3					
AT,JP,RU																																		4								
AT,JP,RU,UA																																14					5					
AT,JP,UA																																	19	7								
AT,JP,US																													4					5								
AT,KW																4	12	2	12	1																						
AT,LI																																						3		1	1	
AT,MD																												25														
AT,ME,RS																							1			1	2									1	2		2			
AT,MX																																										2
AT,NG,PL																						2																				
AT,NL																5			3				6							2			1									
AT,NL,US																																					1					
AT,NL,ZA																																							2	9	6	
AT,NO,NZ,RO,RS																																					8					
AT,NO,PT																																							2			
AT,NO,US																																								6		
AT,NZ																																	3		3	8						
AT,NZ,PK																																		8								
AT,NZ,PL																																			5							
AT,PK																																	1									
AT,PL																				2				3			5			3		8	10	3				8				
AT,PL,RO,UA																																									1	
AT,PL,UA																											1															
AT,PT																							20			13	4		32	29			6	36	70	57	12	56	23	14	27	
AT,PT,RO																																		12								
AT,PT,RO,SK,US																																	6									
AT,PT,RU																												6														
AT,PT,RU,SK																																								7		
AT,RO																				3													2		3							
AT,RO,SK,US																																			6							
AT,RS																						4			6				11	24		9	6	9		3				4		11
AT,RS,SE,SK																																	3									
AT,RS,SE,US																																		11								
AT,RS,SK																																		17								
AT,RU		3				1		3								7	5	5	21	3					31			9			12	13		9			6			1		
AT,RU,SE																																										
AT,RU,SK,UA																																	3									
AT,RU,UA																															2				8				5		1	
AT,SA																																					2			1		
AT,SE																																		16	5			2				
AT,SG																																										10
AT,SG,SK																																							7			
AT,SG,UA																																						6				
AT,SI																				5	11	5	1								8	1		2								
AT,SI,UA																																			11							
AT,SK									36				16		3		1	2		4			4	1				18				2		2								
AT,TH																									2			4				1	1	1	2				1			11
AT,UA																	1									1									1							
AT,US		15														18	1	39		19		5		6	10	6	22	13	14	8	42	14	7	8	9	4	20			6	4	4
AT,ZA																							5					5														
AU	306	270	303	291	340	216	264	337	329	326	200	234	305	100	162	551	490	713	427	845	831	730	732	787	703	854	755	627	601	610	616	610	523	624	586	521	528	475	581	583	369	456
AU,BD,BN																							3		2																	
AU,BE																6	13	14	10	31	22	11	8		3	8		5	12	74			2		7			3			1	
AU,BE,CN													2																													
AU,BE,CN,LK																																								4		
AU,BE,GB																																	1	6								
AU,BE,GB,US																														21												
AU,BE,IR																																						3	4			
AU,BE,IT																													20													
AU,BE,JP																							11																			
AU,BE,JP,NL																				4																						
AU,BE,NL																7	4																					3				
AU,BE,PL																																						25				
AU,BE,RU															1																											
AU,BE,US																														1												
AU,BN																							2	6	4	5		4	9	3	18	27		2								
AU,BN,CN,DE																																					8					
AU,BN,DE																																	3									
AU,BN,US																									1			2			4	5	4	6		5						
AU,BR																					15								3	7		4	2	4	4				5	7		
AU,BR,DE,IN,PL,US																																								3		
AU,BR,DE,US																													6													
AU,BR,MX																																							1			
AU,CA		9					4						1				8	2			6	1	4		2		17	5			7	3	1	12	27	2	36	9		2		
AU,CA,CN																														1												
AU,CA,DE,JO																																										
AU,CA,FR														20																												
AU,CA,GB							4																														13					
AU,CA,GB,IQ						14																																				
AU,CA,GB,NZ,US																																									24	
AU,CA,IN																											5															
AU,CA,IN,IT,US																					13																					
AU,CA,IT																															8			2	19			10				
AU,CA,NL																								7																		
AU,CA,NZ																				15																						
AU,CA,PK																																			6							
AU,CA,US																																	4					1		7		4
AU,CH								10		1		8											20				14	22	1		1	26	7	2		25			12	7	15	
AU,CH,CN																																				5			7			
AU,CH,CN,DE,FR																																					6					
AU,CH,DE																							15		1							11										
AU,CH,DE,HU													1																													
AU,CH,DE,US																																						7				
AU,CH,FR																																								2		
AU,CH,GB																													16										4			
AU,CH,GB,MY,NZ																																								7		
AU,CH,HU													21																													
AU,CH,IL,US																																									7	
AU,CH,IN																																			1							
AU,CH,IN,MX,US																																					3					
AU,CH,IT																													4			2										
AU,CH,NZ																	4																									2
AU,CH,PL																																		1								
AU,CH,SE																												26														
AU,CH,US																																				14						
AU,CH,VE																																12										
AU,CL,DE																																										
AU,CL,IN,IR,TW																																										
AU,CL,IN,US																																										
AU,CL,NZ,US																																									2	
AU,CN		1	1	1	5	4	8		1	1	4		4			1	2		24	48	6	7	41	30	4	61		13	2	26	27	15	84	17	42	60	51	61	14	16	33	8
AU,CN,DE																					4				1														2			10
AU,CN,DE,TH																																										
AU,CN,DK,FR																																						1				
AU,CN,ES																						1																				
AU,CN,FR																																								10		
AU,CN,FR,US																																						2				
AU,CN,GB																																			9	4		3				
AU,CN,GB,TW																																				6						
AU,CN,HK																														2											5	
AU,CN,HK,TW																																							8			
AU,CN,IE																											1															
AU,CN,IN																																					2					
AU,CN,IR																																								1		
AU,CN,JP																								2						6						1						
AU,CN,JP,SA,TR																																				5						
AU,CN,KR																																								2		
AU,CN,MY																										1																
AU,CN,MY,US																					2																					
AU,CN,SA,US																																				1						
AU,CN,SE																																					5		8	3		
AU,CN,SG																				2																						
AU,CN,TW																																							3			
AU,CN,US																																						1	5	1		
AU,CU,US																																								24		
AU,CZ							4																																			
AU,CZ,ES																							3																			
AU,CZ,GB																																									7	
AU,CZ,IL																																							11			
AU,CZ,IR																																					1					
AU,DE				25	2	7			4			5	18	11	15	28	40	57	22	27	65	2	35	58	31	22	23	38	30	29	92	62	57	73	97	56	53	49	29	47	52	90
AU,DE,DK																																							1		2	
AU,DE,EG,GB,GR,US																																										6
AU,DE,ES																			12						3						4				4							
AU,DE,ES,GB																																									16	
AU,DE,ES,IR,IT,RU																																								1		
AU,DE,FI																																										7
AU,DE,FR																																			8		20	12				2
AU,DE,FR,SK,US																																									4	
AU,DE,GB														6	4							8	4			1			19					18		2	2	3	12			4
AU,DE,GB,NZ																																				3						
AU,DE,GB,NZ,US																												4														
AU,DE,GB,US																																9										
AU,DE,GR																						4																				
AU,DE,HK,JP																																15										
AU,DE,HR																																	4								4	
AU,DE,HR,PL,US																																1										
AU,DE,IN																																	8	4	3							
AU,DE,IN,IT																																					2					
